A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/audit_ref/t_ZPF2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0000
eff overall (pt>0.9)             0.8130       0.8136      -0.0005
eff vxy [0,1)                    0.8461       0.8473      -0.0012
eff vxy [1,5)                    0.8035       0.7731      +0.0304
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8404       0.8342      +0.0062
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9247       0.9242      +0.0006
eff transition 1.1-1.7           0.8814       0.8826      -0.0013
eff endcap >1.7                  0.7543       0.7556      -0.0013
dup rate (pt sums)               0.0525       0.0499      +0.0026
dup rate (pt>0.9)                0.0533       0.0513      +0.0020
dup rate barrel                  0.0155       0.0097      +0.0058
dup rate transition              0.0212       0.0130      +0.0082
dup rate endcap                  0.0830       0.0846      -0.0015
fake rate (pt sums)              0.0459       0.0451      +0.0008
fake rate (pt>0.9)               0.0465       0.0455      +0.0010
fake rate barrel                 0.0517       0.0437      +0.0080
fake rate transition             0.0546       0.0459      +0.0088
fake rate endcap                 0.0414       0.0463      -0.0050
mean nhitOT                       6.385        6.514       -0.129
mean nhitOT barrel                9.899       10.151       -0.251
mean nhitOT transition            9.891       10.010       -0.118
mean nhitOT endcap                3.472        3.559       -0.087
n TC (fr denom)                  614879       610581        +4298
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/audit_ref/t_ZPF2.json
