events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
e00_06             A_seedlessCover      22.41      0.48      9.50      7.57      4.85
e00_06             A_otherCover        154.39    147.05      7.27      0.03      0.03
e00_06             B_noCover            28.34      1.51      0.58      0.92     25.33
e00_06             C_noTruth             1.73      0.35      0.33      0.36      0.69
e06_11             A_seedlessCover      15.24      0.48      5.77      6.17      2.82
e06_11             A_otherCover        102.42     97.80      4.58      0.01      0.03
e06_11             B_noCover            17.16      1.08      0.33      0.75     15.00
e06_11             C_noTruth             1.26      0.26      0.13      0.27      0.60
e11_17             A_seedlessCover      21.09      0.72      8.55      8.58      3.24
e11_17             A_otherCover         95.28     70.53     24.60      0.06      0.10
e11_17             B_noCover            22.75      1.43      1.37      0.79     19.16
e11_17             C_noTruth             3.62      0.41      0.57      0.54      2.10
e17_24             A_seedlessCover      26.84      0.46     13.83      8.43      4.12
e17_24             A_otherCover        227.58     43.75    180.38      2.79      0.66
e17_24             B_noCover            78.01      0.91      5.67      1.31     70.12
e17_24             C_noTruth            21.75      0.81      4.78      2.38     13.78
e24_up             A_seedlessCover       3.51      0.00      1.60      1.69      0.21
e24_up             A_otherCover          5.98      0.50      5.07      0.37      0.03
e24_up             B_noCover           696.32      0.02      0.26      0.34    695.71
e24_up             C_noTruth            23.41      0.01      0.09      0.16     23.16

=== FRONTIER  var=bestChainLogit(-RPSA)  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain
e00_06               -2.0     4.853     0.030    25.327     0.690      0.19     9.767
e00_06               -1.5     4.840     0.030    23.273     0.640      0.21     9.740
e00_06               -1.0     4.823     0.027    20.577     0.580      0.24     9.700
e00_06               -0.5     4.810     0.027    16.977     0.523      0.28     9.673
e00_06                0.0     4.783     0.023    12.837     0.440      0.37     9.613
e00_06                0.5     4.730     0.020     9.197     0.287      0.52     9.500
e00_06                1.0     4.570     0.020     6.593     0.187      0.70     9.180
e00_06                1.5     4.303     0.020     4.717     0.130      0.92     8.647
e00_06                2.0     3.873     0.017     3.360     0.097      1.16     7.780
e00_06                2.5     3.407     0.013     2.250     0.070      1.52     6.840
e00_06                3.0     2.817     0.013     1.417     0.047      2.00     5.660
e00_06                3.5     2.080     0.013     0.813     0.030      2.57     4.187
e00_06                4.0     1.020     0.010     0.350     0.020      2.94     2.060
e00_06                4.5     0.850     0.007     0.197     0.013      4.36     1.713
e00_06                5.0     0.583     0.000     0.090     0.013      6.48     1.167
e06_11               -2.0     2.823     0.030    15.003     0.600      0.19     5.707
e06_11               -1.5     2.823     0.030    14.443     0.590      0.20     5.707
e06_11               -1.0     2.813     0.030    13.407     0.550      0.21     5.687
e06_11               -0.5     2.787     0.020    11.467     0.510      0.24     5.613
e06_11                0.0     2.747     0.017     8.833     0.420      0.31     5.527
e06_11                0.5     2.660     0.017     6.337     0.283      0.42     5.353
e06_11                1.0     2.547     0.017     4.373     0.150      0.59     5.127
e06_11                1.5     2.373     0.017     2.960     0.087      0.81     4.780
