A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/b01_ref/r_B25_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3281      -0.0009
eff overall (pt>0.9)             0.8085       0.8099      -0.0014
eff vxy [0,1)                    0.8412       0.8430      -0.0017
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7390       0.6645      +0.0745
eff dxy [0,1)                    0.8357       0.8307      +0.0050
eff dxy [1,5)                    0.6143       0.5541      +0.0602
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9220       0.9256      -0.0035
eff transition 1.1-1.7           0.8819       0.8819      +0.0000
eff endcap >1.7                  0.7458       0.7460      -0.0001
dup rate (pt sums)               0.0487       0.0503      -0.0016
dup rate (pt>0.9)                0.0494       0.0518      -0.0024
dup rate barrel                  0.0195       0.0099      +0.0096
dup rate transition              0.0282       0.0126      +0.0155
dup rate endcap                  0.0720       0.0856      -0.0135
fake rate (pt sums)              0.0484       0.0447      +0.0037
fake rate (pt>0.9)               0.0490       0.0448      +0.0043
fake rate barrel                 0.0549       0.0425      +0.0124
fake rate transition             0.0599       0.0445      +0.0153
fake rate endcap                 0.0426       0.0460      -0.0034
mean nhitOT                       6.517        6.519       -0.001
mean nhitOT barrel               10.018       10.148       -0.130
mean nhitOT transition            9.993       10.015       -0.023
mean nhitOT endcap                3.573        3.562       +0.010
n TC (fr denom)                  610219       608190        +2029
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/b01_ref/r_B25.json
