A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/ceil_ref/t_C3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3030       0.3264      -0.0235
eff overall (pt>0.9)             0.7635       0.8136      -0.0500
eff vxy [0,1)                    0.7938       0.8473      -0.0535
eff vxy [1,5)                    0.7618       0.7731      -0.0113
eff vxy [5,10)                   0.7334       0.6530      +0.0804
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.7915       0.8342      -0.0427
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8919       0.9242      -0.0323
eff transition 1.1-1.7           0.8538       0.8826      -0.0288
eff endcap >1.7                  0.6735       0.7556      -0.0821
dup rate (pt sums)               0.3078       0.0499      +0.2579
dup rate (pt>0.9)                0.3232       0.0513      +0.2719
dup rate barrel                  0.1822       0.0097      +0.1725
dup rate transition              0.3412       0.0130      +0.3282
dup rate endcap                  0.4495       0.0846      +0.3649
fake rate (pt sums)              0.4837       0.0451      +0.4386
fake rate (pt>0.9)               0.4841       0.0455      +0.4386
fake rate barrel                 0.6594       0.0437      +0.6157
fake rate transition             0.5269       0.0459      +0.4810
fake rate endcap                 0.2976       0.0463      +0.2513
mean nhitOT                       6.369        6.514       -0.145
mean nhitOT barrel                7.134       10.151       -3.016
mean nhitOT transition            7.303       10.010       -2.707
mean nhitOT endcap                5.215        3.559       +1.655
n TC (fr denom)                 1632390       610581     +1021809
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/ceil_ref/t_C3.json
