A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/ceil_ref/t_SMOKE1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3081       0.3264      -0.0183
eff overall (pt>0.9)             0.7403       0.8136      -0.0732
eff vxy [0,1)                    0.7712       0.8473      -0.0761
eff vxy [1,5)                    0.6667       0.7731      -0.1065
eff vxy [5,10)                   0.6429       0.6530      -0.0101
eff vxy [10,30)                  0.8000       0.6291      +0.1709
eff dxy [0,1)                    0.7673       0.8342      -0.0669
eff dxy [1,5)                    0.3571       0.4989      -0.1418
eff dxy [5,10)                   0.0000       0.2281      -0.2281
eff dxy [10,30)                     n/a       0.0470          n/a
eff barrel |eta|<1.1             0.8868       0.9242      -0.0374
eff transition 1.1-1.7           0.8182       0.8826      -0.0644
eff endcap >1.7                  0.6306       0.7556      -0.1250
dup rate (pt sums)               0.0615       0.0499      +0.0116
dup rate (pt>0.9)                0.0594       0.0513      +0.0080
dup rate barrel                  0.0238       0.0097      +0.0141
dup rate transition              0.0446       0.0130      +0.0316
dup rate endcap                  0.1069       0.0846      +0.0223
fake rate (pt sums)              0.4769       0.0451      +0.4318
fake rate (pt>0.9)               0.4932       0.0455      +0.4477
fake rate barrel                 0.6554       0.0437      +0.6117
fake rate transition             0.5765       0.0459      +0.5306
fake rate endcap                 0.2687       0.0463      +0.2224
mean nhitOT                       6.461        6.514       -0.053
mean nhitOT barrel                7.549       10.151       -2.602
mean nhitOT transition            7.893       10.010       -2.117
mean nhitOT endcap                4.546        3.559       +0.987
n TC (fr denom)                    7657       610581      -602924
n sim (ef denom)                    701        63603       -62902
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/ceil_ref/t_SMOKE1.json
