A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/ceil_ref/t_p_n2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3264      -0.0018
eff overall (pt>0.9)             0.8093       0.8136      -0.0043
eff vxy [0,1)                    0.8424       0.8473      -0.0050
eff vxy [1,5)                    0.7951       0.7731      +0.0219
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8366       0.8342      +0.0024
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9168       0.9242      -0.0074
eff transition 1.1-1.7           0.8804       0.8826      -0.0023
eff endcap >1.7                  0.7530       0.7556      -0.0026
dup rate (pt sums)               0.0706       0.0499      +0.0207
dup rate (pt>0.9)                0.0724       0.0513      +0.0211
dup rate barrel                  0.0329       0.0097      +0.0232
dup rate transition              0.0498       0.0130      +0.0368
dup rate endcap                  0.1006       0.0846      +0.0161
fake rate (pt sums)              0.0615       0.0451      +0.0164
fake rate (pt>0.9)               0.0640       0.0455      +0.0185
fake rate barrel                 0.0803       0.0437      +0.0366
fake rate transition             0.0808       0.0459      +0.0349
fake rate endcap                 0.0501       0.0463      +0.0038
mean nhitOT                       6.499        6.514       -0.015
mean nhitOT barrel                9.917       10.151       -0.234
mean nhitOT transition            9.873       10.010       -0.137
mean nhitOT endcap                3.625        3.559       +0.065
n TC (fr denom)                  628021       610581       +17440
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/ceil_ref/t_p_n2.json
