[a8] tag=b2 args: -G 5 -X 0.5 -T4 2 -T5 1 -U4 1e9 -L 0.5 -F 0.3 -B 2
  chain TCs       total=210745 mean=702.5 (T5-class=192978 T4-class=17767; 0 accepted chains below 4 layers dropped by K10)
  output TCs/evt  mean=2559.5 (pixel 1857.0 + chain 702.5)
  time mean/evt   infer=37.168 weld=4.371 arb+asm=0.481 fill=51.614 ms
  wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout/a8_arbitration/ab_b2.root
A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout/a8_arbitration/ab_b2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3286       0.3264      +0.0022
eff overall (pt>0.9)             0.8178       0.8136      +0.0042
eff vxy [0,1)                    0.8512       0.8473      +0.0038
eff vxy [1,5)                    0.7958       0.7731      +0.0226
eff vxy [5,10)                   0.7114       0.6530      +0.0584
eff vxy [10,30)                  0.6732       0.6291      +0.0441
eff dxy [0,1)                    0.8434       0.8342      +0.0092
eff dxy [1,5)                    0.4871       0.4989      -0.0118
eff dxy [5,10)                   0.2211       0.2281      -0.0070
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9296       0.9242      +0.0054
eff transition 1.1-1.7           0.8911       0.8826      +0.0085
eff endcap >1.7                  0.7571       0.7556      +0.0016
dup rate (pt sums)               0.2834       0.0499      +0.2335
dup rate (pt>0.9)                0.3109       0.0513      +0.2596
dup rate barrel                  0.3233       0.0097      +0.3136
dup rate transition              0.3710       0.0130      +0.3580
dup rate endcap                  0.2811       0.0846      +0.1965
fake rate (pt sums)              0.1117       0.0451      +0.0666
fake rate (pt>0.9)               0.1110       0.0455      +0.0655
fake rate barrel                 0.1781       0.0437      +0.1343
fake rate transition             0.1375       0.0459      +0.0917
fake rate endcap                 0.0562       0.0463      +0.0098
mean nhitOT                       7.340        6.514       +0.826
mean nhitOT barrel               10.196       10.151       +0.046
mean nhitOT transition           10.098       10.010       +0.088
mean nhitOT endcap                4.422        3.559       +0.862
n TC (fr denom)                  767860       610581      +157279
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout/a8_arbitration/ab_b2.json
