A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b1_a2_d5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3215       0.3264      -0.0050
eff overall (pt>0.9)             0.8003       0.8136      -0.0132
eff vxy [0,1)                    0.8334       0.8473      -0.0139
eff vxy [1,5)                    0.7682       0.7731      -0.0049
eff vxy [5,10)                   0.6688       0.6530      +0.0158
eff vxy [10,30)                  0.6381       0.6291      +0.0090
eff dxy [0,1)                    0.8239       0.8342      -0.0103
eff dxy [1,5)                    0.4893       0.4989      -0.0097
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9075       0.9242      -0.0166
eff transition 1.1-1.7           0.8601       0.8826      -0.0225
eff endcap >1.7                  0.7486       0.7556      -0.0070
dup rate (pt sums)               0.0577       0.0499      +0.0078
dup rate (pt>0.9)                0.0596       0.0513      +0.0083
dup rate barrel                  0.0097       0.0097      -0.0001
dup rate transition              0.0225       0.0130      +0.0095
dup rate endcap                  0.0969       0.0846      +0.0124
fake rate (pt sums)              0.0566       0.0451      +0.0115
fake rate (pt>0.9)               0.0581       0.0455      +0.0126
fake rate barrel                 0.0589       0.0437      +0.0152
fake rate transition             0.0789       0.0459      +0.0330
fake rate endcap                 0.0515       0.0463      +0.0052
mean nhitOT                       6.556        6.514       +0.042
mean nhitOT barrel               10.118       10.151       -0.033
mean nhitOT transition           10.037       10.010       +0.027
mean nhitOT endcap                3.644        3.559       +0.085
n TC (fr denom)                  613706       610581        +3125
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b1_a2_d5.json
