A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b1_am1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3192       0.3264      -0.0073
eff overall (pt>0.9)             0.7944       0.8136      -0.0191
eff vxy [0,1)                    0.8280       0.8473      -0.0193
eff vxy [1,5)                    0.7413       0.7731      -0.0318
eff vxy [5,10)                   0.6262       0.6530      -0.0268
eff vxy [10,30)                  0.5572       0.6291      -0.0719
eff dxy [0,1)                    0.8142       0.8342      -0.0200
eff dxy [1,5)                    0.4270       0.4989      -0.0719
eff dxy [5,10)                   0.1930       0.2281      -0.0351
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.8980       0.9242      -0.0262
eff transition 1.1-1.7           0.8501       0.8826      -0.0325
eff endcap >1.7                  0.7475       0.7556      -0.0081
dup rate (pt sums)               0.0570       0.0499      +0.0071
dup rate (pt>0.9)                0.0587       0.0513      +0.0074
dup rate barrel                  0.0085       0.0097      -0.0013
dup rate transition              0.0214       0.0130      +0.0084
dup rate endcap                  0.0962       0.0846      +0.0116
fake rate (pt sums)              0.0639       0.0451      +0.0188
fake rate (pt>0.9)               0.0655       0.0455      +0.0201
fake rate barrel                 0.0698       0.0437      +0.0261
fake rate transition             0.0907       0.0459      +0.0449
fake rate endcap                 0.0559       0.0463      +0.0096
mean nhitOT                       6.570        6.514       +0.057
mean nhitOT barrel               10.151       10.151       +0.001
mean nhitOT transition           10.064       10.010       +0.054
mean nhitOT endcap                3.653        3.559       +0.093
n TC (fr denom)                  612150       610581        +1569
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b1_am1.json
