A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b3_rps_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3136       0.3264      -0.0129
eff overall (pt>0.9)             0.7831       0.8136      -0.0305
eff vxy [0,1)                    0.8158       0.8473      -0.0315
eff vxy [1,5)                    0.7336       0.7731      -0.0396
eff vxy [5,10)                   0.6356       0.6530      -0.0174
eff vxy [10,30)                  0.5817       0.6291      -0.0474
eff dxy [0,1)                    0.8036       0.8342      -0.0306
eff dxy [1,5)                    0.4485       0.4989      -0.0504
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.8911       0.9242      -0.0331
eff transition 1.1-1.7           0.8375       0.8826      -0.0451
eff endcap >1.7                  0.7311       0.7556      -0.0245
dup rate (pt sums)               0.0479       0.0499      -0.0020
dup rate (pt>0.9)                0.0488       0.0513      -0.0025
dup rate barrel                  0.0076       0.0097      -0.0021
dup rate transition              0.0180       0.0130      +0.0050
dup rate endcap                  0.0802       0.0846      -0.0044
fake rate (pt sums)              0.0605       0.0451      +0.0154
fake rate (pt>0.9)               0.0620       0.0455      +0.0165
fake rate barrel                 0.0659       0.0437      +0.0222
fake rate transition             0.0862       0.0459      +0.0404
fake rate endcap                 0.0527       0.0463      +0.0063
mean nhitOT                       6.719        6.514       +0.205
mean nhitOT barrel               10.268       10.151       +0.118
mean nhitOT transition           10.252       10.010       +0.242
mean nhitOT endcap                3.759        3.559       +0.200
n TC (fr denom)                  596433       610581       -14148
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b3_rps.json
