A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b4_am2_d05_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3200       0.3264      -0.0064
eff overall (pt>0.9)             0.7961       0.8136      -0.0174
eff vxy [0,1)                    0.8296       0.8473      -0.0177
eff vxy [1,5)                    0.7505       0.7731      -0.0226
eff vxy [5,10)                   0.6435       0.6530      -0.0095
eff vxy [10,30)                  0.6577       0.6291      +0.0286
eff dxy [0,1)                    0.8181       0.8342      -0.0161
eff dxy [1,5)                    0.5376       0.4989      +0.0386
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9004       0.9242      -0.0237
eff transition 1.1-1.7           0.8521       0.8826      -0.0305
eff endcap >1.7                  0.7485       0.7556      -0.0071
dup rate (pt sums)               0.0602       0.0499      +0.0103
dup rate (pt>0.9)                0.0623       0.0513      +0.0110
dup rate barrel                  0.0137       0.0097      +0.0039
dup rate transition              0.0263       0.0130      +0.0133
dup rate endcap                  0.0986       0.0846      +0.0141
fake rate (pt sums)              0.0562       0.0451      +0.0111
fake rate (pt>0.9)               0.0580       0.0455      +0.0125
fake rate barrel                 0.0605       0.0437      +0.0168
fake rate transition             0.0831       0.0459      +0.0373
fake rate endcap                 0.0494       0.0463      +0.0030
mean nhitOT                       6.543        6.514       +0.029
mean nhitOT barrel               10.084       10.151       -0.067
mean nhitOT transition           10.006       10.010       -0.003
mean nhitOT endcap                3.652        3.559       +0.093
n TC (fr denom)                  615147       610581        +4566
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_b4_am2_d05.json
