A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_m17_d10_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3242       0.3264      -0.0022
eff overall (pt>0.9)             0.8050       0.8136      -0.0086
eff vxy [0,1)                    0.8378       0.8473      -0.0096
eff vxy [1,5)                    0.7993       0.7731      +0.0261
eff vxy [5,10)                   0.7524       0.6530      +0.0994
eff vxy [10,30)                  0.7165       0.6291      +0.0874
eff dxy [0,1)                    0.8332       0.8342      -0.0010
eff dxy [1,5)                    0.5697       0.4989      +0.0708
eff dxy [5,10)                   0.2877       0.2281      +0.0596
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9126       0.9242      -0.0116
eff transition 1.1-1.7           0.8691       0.8826      -0.0135
eff endcap >1.7                  0.7514       0.7556      -0.0042
dup rate (pt sums)               0.0678       0.0499      +0.0179
dup rate (pt>0.9)                0.0697       0.0513      +0.0184
dup rate barrel                  0.0255       0.0097      +0.0158
dup rate transition              0.0435       0.0130      +0.0305
dup rate endcap                  0.1086       0.0846      +0.0240
fake rate (pt sums)              0.1710       0.0451      +0.1259
fake rate (pt>0.9)               0.1668       0.0455      +0.1213
fake rate barrel                 0.2737       0.0437      +0.2299
fake rate transition             0.2387       0.0459      +0.1928
fake rate endcap                 0.0696       0.0463      +0.0233
mean nhitOT                       6.779        6.514       +0.265
mean nhitOT barrel                9.669       10.151       -0.481
mean nhitOT transition            9.642       10.010       -0.367
mean nhitOT endcap                3.830        3.559       +0.271
n TC (fr denom)                  721249       610581      +110668
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_m17_d10.json
