A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_m17_e2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3228       0.3264      -0.0036
eff overall (pt>0.9)             0.8032       0.8136      -0.0104
eff vxy [0,1)                    0.8358       0.8473      -0.0115
eff vxy [1,5)                    0.7887       0.7731      +0.0155
eff vxy [5,10)                   0.7192       0.6530      +0.0662
eff vxy [10,30)                  0.6993       0.6291      +0.0703
eff dxy [0,1)                    0.8299       0.8342      -0.0044
eff dxy [1,5)                    0.5461       0.4989      +0.0472
eff dxy [5,10)                   0.2632       0.2281      +0.0351
eff dxy [10,30)                  0.0278       0.0470      -0.0192
eff barrel |eta|<1.1             0.9098       0.9242      -0.0144
eff transition 1.1-1.7           0.8651       0.8826      -0.0175
eff endcap >1.7                  0.7513       0.7556      -0.0043
dup rate (pt sums)               0.0642       0.0499      +0.0143
dup rate (pt>0.9)                0.0661       0.0513      +0.0148
dup rate barrel                  0.0170       0.0097      +0.0073
dup rate transition              0.0333       0.0130      +0.0202
dup rate endcap                  0.1016       0.0846      +0.0170
fake rate (pt sums)              0.0568       0.0451      +0.0117
fake rate (pt>0.9)               0.0586       0.0455      +0.0131
fake rate barrel                 0.0637       0.0437      +0.0200
fake rate transition             0.0854       0.0459      +0.0395
fake rate endcap                 0.0480       0.0463      +0.0016
mean nhitOT                       6.540        6.514       +0.027
mean nhitOT barrel               10.022       10.151       -0.128
mean nhitOT transition            9.960       10.010       -0.050
mean nhitOT endcap                3.699        3.559       +0.140
n TC (fr denom)                  622834       610581       +12253
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_m17_e2.json
