A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_m17_w1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3228       0.3264      -0.0037
eff overall (pt>0.9)             0.8031       0.8136      -0.0105
eff vxy [0,1)                    0.8358       0.8473      -0.0115
eff vxy [1,5)                    0.7866       0.7731      +0.0134
eff vxy [5,10)                   0.7129       0.6530      +0.0599
eff vxy [10,30)                  0.6953       0.6291      +0.0662
eff dxy [0,1)                    0.8296       0.8342      -0.0046
eff dxy [1,5)                    0.5418       0.4989      +0.0429
eff dxy [5,10)                   0.2351       0.2281      +0.0070
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9094       0.9242      -0.0147
eff transition 1.1-1.7           0.8646       0.8826      -0.0180
eff endcap >1.7                  0.7516       0.7556      -0.0040
dup rate (pt sums)               0.0629       0.0499      +0.0130
dup rate (pt>0.9)                0.0650       0.0513      +0.0137
dup rate barrel                  0.0165       0.0097      +0.0068
dup rate transition              0.0303       0.0130      +0.0173
dup rate endcap                  0.1005       0.0846      +0.0159
fake rate (pt sums)              0.0524       0.0451      +0.0073
fake rate (pt>0.9)               0.0542       0.0455      +0.0087
fake rate barrel                 0.0555       0.0437      +0.0118
fake rate transition             0.0775       0.0459      +0.0316
fake rate endcap                 0.0468       0.0463      +0.0004
mean nhitOT                       6.528        6.514       +0.014
mean nhitOT barrel               10.042       10.151       -0.109
mean nhitOT transition            9.979       10.010       -0.031
mean nhitOT endcap                3.688        3.559       +0.129
n TC (fr denom)                  618248       610581        +7667
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_m17_w1.json
