A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_r1_am2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3178       0.3264      -0.0086
eff overall (pt>0.9)             0.7913       0.8136      -0.0223
eff vxy [0,1)                    0.8253       0.8473      -0.0220
eff vxy [1,5)                    0.7336       0.7731      -0.0396
eff vxy [5,10)                   0.5868       0.6530      -0.0662
eff vxy [10,30)                  0.5180       0.6291      -0.1111
eff dxy [0,1)                    0.8089       0.8342      -0.0253
eff dxy [1,5)                    0.4056       0.4989      -0.0933
eff dxy [5,10)                   0.1895       0.2281      -0.0386
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.8900       0.9242      -0.0342
eff transition 1.1-1.7           0.8428       0.8826      -0.0398
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0933       0.0499      +0.0434
dup rate (pt>0.9)                0.1003       0.0513      +0.0490
dup rate barrel                  0.0279       0.0097      +0.0181
dup rate transition              0.0619       0.0130      +0.0489
dup rate endcap                  0.1494       0.0846      +0.0649
fake rate (pt sums)              0.0810       0.0451      +0.0358
fake rate (pt>0.9)               0.0832       0.0455      +0.0377
fake rate barrel                 0.0981       0.0437      +0.0544
fake rate transition             0.1188       0.0459      +0.0729
fake rate endcap                 0.0649       0.0463      +0.0186
mean nhitOT                       6.678        6.514       +0.165
mean nhitOT barrel               10.078       10.151       -0.073
mean nhitOT transition           10.029       10.010       +0.019
mean nhitOT endcap                3.915        3.559       +0.356
n TC (fr denom)                  635124       610581       +24543
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_r1_am2.json
