A/B compare (Root__TC set): proto=ab_r2_at3_6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3185       0.3264      -0.0079
eff overall (pt>0.9)             0.7931       0.8136      -0.0205
eff vxy [0,1)                    0.8269       0.8473      -0.0204
eff vxy [1,5)                    0.7399       0.7731      -0.0332
eff vxy [5,10)                   0.5978       0.6530      -0.0552
eff vxy [10,30)                  0.5335       0.6291      -0.0956
eff dxy [0,1)                    0.8117       0.8342      -0.0226
eff dxy [1,5)                    0.4120       0.4989      -0.0869
eff dxy [5,10)                   0.1930       0.2281      -0.0351
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.8914       0.9242      -0.0327
eff transition 1.1-1.7           0.8486       0.8826      -0.0340
eff endcap >1.7                  0.7511       0.7556      -0.0044
dup rate (pt sums)               0.1631       0.0499      +0.1132
dup rate (pt>0.9)                0.1757       0.0513      +0.1244
dup rate barrel                  0.0321       0.0097      +0.0224
dup rate transition              0.0985       0.0130      +0.0855
dup rate endcap                  0.2687       0.0846      +0.1841
fake rate (pt sums)              0.0989       0.0451      +0.0538
fake rate (pt>0.9)               0.1018       0.0455      +0.0563
fake rate barrel                 0.1260       0.0437      +0.0823
fake rate transition             0.1568       0.0459      +0.1110
fake rate endcap                 0.0741       0.0463      +0.0278
mean nhitOT                       6.656        6.514       +0.142
mean nhitOT barrel                9.973       10.151       -0.178
mean nhitOT transition            9.775       10.010       -0.234
mean nhitOT endcap                4.125        3.559       +0.565
n TC (fr denom)                  679842       610581       +69261
n sim (ef denom)                  63603        63603           +0
wrote ab_r2_at3_6.json
