A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_r3_rps_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3079       0.3264      -0.0185
eff overall (pt>0.9)             0.7712       0.8136      -0.0424
eff vxy [0,1)                    0.8040       0.8473      -0.0433
eff vxy [1,5)                    0.7138       0.7731      -0.0594
eff vxy [5,10)                   0.5994       0.6530      -0.0536
eff vxy [10,30)                  0.5335       0.6291      -0.0956
eff dxy [0,1)                    0.7897       0.8342      -0.0445
eff dxy [1,5)                    0.4120       0.4989      -0.0869
eff dxy [5,10)                   0.1930       0.2281      -0.0351
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.8737       0.9242      -0.0505
eff transition 1.1-1.7           0.8215       0.8826      -0.0611
eff endcap >1.7                  0.7252       0.7556      -0.0304
dup rate (pt sums)               0.0856       0.0499      +0.0357
dup rate (pt>0.9)                0.0917       0.0513      +0.0404
dup rate barrel                  0.0256       0.0097      +0.0159
dup rate transition              0.0590       0.0130      +0.0459
dup rate endcap                  0.1367       0.0846      +0.0521
fake rate (pt sums)              0.0785       0.0451      +0.0334
fake rate (pt>0.9)               0.0803       0.0455      +0.0348
fake rate barrel                 0.0957       0.0437      +0.0520
fake rate transition             0.1153       0.0459      +0.0695
fake rate endcap                 0.0618       0.0463      +0.0154
mean nhitOT                       6.889        6.514       +0.375
mean nhitOT barrel               10.276       10.151       +0.125
mean nhitOT transition           10.307       10.010       +0.297
mean nhitOT endcap                4.069        3.559       +0.509
n TC (fr denom)                  609878       610581         -703
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/ab_r3_rps.json
