A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_b1_am2_d5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3201       0.3277      -0.0075
eff overall (pt>0.9)             0.7929       0.8122      -0.0194
eff vxy [0,1)                    0.8246       0.8437      -0.0190
eff vxy [1,5)                    0.7204       0.7491      -0.0287
eff vxy [5,10)                   0.5596       0.6147      -0.0550
eff vxy [10,30)                  0.5609       0.6391      -0.0783
eff dxy [0,1)                    0.8082       0.8284      -0.0201
eff dxy [1,5)                    0.4902       0.5392      -0.0490
eff dxy [5,10)                   0.2778       0.2037      +0.0741
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.8936       0.9179      -0.0243
eff transition 1.1-1.7           0.8555       0.8887      -0.0332
eff endcap >1.7                  0.7279       0.7373      -0.0094
dup rate (pt sums)               0.0556       0.0485      +0.0071
dup rate (pt>0.9)                0.0573       0.0496      +0.0076
dup rate barrel                  0.0089       0.0098      -0.0009
dup rate transition              0.0207       0.0123      +0.0084
dup rate endcap                  0.0939       0.0821      +0.0118
fake rate (pt sums)              0.0620       0.0432      +0.0188
fake rate (pt>0.9)               0.0636       0.0435      +0.0201
fake rate barrel                 0.0675       0.0421      +0.0254
fake rate transition             0.0890       0.0426      +0.0464
fake rate endcap                 0.0540       0.0446      +0.0094
mean nhitOT                       6.581        6.533       +0.047
mean nhitOT barrel               10.151       10.151       -0.000
mean nhitOT transition           10.048       10.008       +0.040
mean nhitOT endcap                3.652        3.560       +0.092
n TC (fr denom)                  121022       120786         +236
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_b1_am2_d5.json
