A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_b4_a2_d05_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3223       0.3277      -0.0053
eff overall (pt>0.9)             0.7981       0.8122      -0.0141
eff vxy [0,1)                    0.8296       0.8437      -0.0141
eff vxy [1,5)                    0.7455       0.7491      -0.0036
eff vxy [5,10)                   0.6330       0.6147      +0.0183
eff vxy [10,30)                  0.6957       0.6391      +0.0565
eff dxy [0,1)                    0.8188       0.8284      -0.0095
eff dxy [1,5)                    0.5980       0.5392      +0.0588
eff dxy [5,10)                   0.2778       0.2037      +0.0741
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.8988       0.9179      -0.0191
eff transition 1.1-1.7           0.8645       0.8887      -0.0243
eff endcap >1.7                  0.7320       0.7373      -0.0053
dup rate (pt sums)               0.0588       0.0485      +0.0103
dup rate (pt>0.9)                0.0607       0.0496      +0.0111
dup rate barrel                  0.0136       0.0098      +0.0037
dup rate transition              0.0272       0.0123      +0.0149
dup rate endcap                  0.0959       0.0821      +0.0138
fake rate (pt sums)              0.0513       0.0432      +0.0081
fake rate (pt>0.9)               0.0527       0.0435      +0.0092
fake rate barrel                 0.0529       0.0421      +0.0108
fake rate transition             0.0749       0.0426      +0.0323
fake rate endcap                 0.0461       0.0446      +0.0016
mean nhitOT                       6.554        6.533       +0.020
mean nhitOT barrel               10.071       10.151       -0.080
mean nhitOT transition            9.985       10.008       -0.023
mean nhitOT endcap                3.660        3.560       +0.100
n TC (fr denom)                  121695       120786         +909
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_b4_a2_d05.json
