A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_m17_w3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3227       0.3277      -0.0050
eff overall (pt>0.9)             0.7983       0.8122      -0.0139
eff vxy [0,1)                    0.8289       0.8437      -0.0148
eff vxy [1,5)                    0.7634       0.7491      +0.0143
eff vxy [5,10)                   0.6697       0.6147      +0.0550
eff vxy [10,30)                  0.7130       0.6391      +0.0739
eff dxy [0,1)                    0.8216       0.8284      -0.0068
eff dxy [1,5)                    0.5833       0.5392      +0.0441
eff dxy [5,10)                   0.2593       0.2037      +0.0556
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.9009       0.9179      -0.0170
eff transition 1.1-1.7           0.8619       0.8887      -0.0269
eff endcap >1.7                  0.7314       0.7373      -0.0059
dup rate (pt sums)               0.0620       0.0485      +0.0135
dup rate (pt>0.9)                0.0635       0.0496      +0.0139
dup rate barrel                  0.0162       0.0098      +0.0063
dup rate transition              0.0306       0.0123      +0.0184
dup rate endcap                  0.0981       0.0821      +0.0161
fake rate (pt sums)              0.0507       0.0432      +0.0075
fake rate (pt>0.9)               0.0523       0.0435      +0.0088
fake rate barrel                 0.0536       0.0421      +0.0115
fake rate transition             0.0749       0.0426      +0.0323
fake rate endcap                 0.0451       0.0446      +0.0005
mean nhitOT                       6.531        6.533       -0.003
mean nhitOT barrel               10.017       10.151       -0.135
mean nhitOT transition            9.945       10.008       -0.063
mean nhitOT endcap                3.690        3.560       +0.130
n TC (fr denom)                  122347       120786        +1561
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_m17_w3.json
