A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_r1_am1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3192       0.3277      -0.0085
eff overall (pt>0.9)             0.7900       0.8122      -0.0222
eff vxy [0,1)                    0.8216       0.8437      -0.0221
eff vxy [1,5)                    0.7204       0.7491      -0.0287
eff vxy [5,10)                   0.5138       0.6147      -0.1009
eff vxy [10,30)                  0.5391       0.6391      -0.1000
eff dxy [0,1)                    0.8055       0.8284      -0.0229
eff dxy [1,5)                    0.4461       0.5392      -0.0931
eff dxy [5,10)                   0.2037       0.2037      +0.0000
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.8802       0.9179      -0.0377
eff transition 1.1-1.7           0.8593       0.8887      -0.0294
eff endcap >1.7                  0.7338       0.7373      -0.0035
dup rate (pt sums)               0.0908       0.0485      +0.0423
dup rate (pt>0.9)                0.0978       0.0496      +0.0482
dup rate barrel                  0.0259       0.0098      +0.0160
dup rate transition              0.0636       0.0123      +0.0513
dup rate endcap                  0.1459       0.0821      +0.0638
fake rate (pt sums)              0.0765       0.0432      +0.0333
fake rate (pt>0.9)               0.0788       0.0435      +0.0353
fake rate barrel                 0.0935       0.0421      +0.0514
fake rate transition             0.1116       0.0426      +0.0690
fake rate endcap                 0.0614       0.0446      +0.0168
mean nhitOT                       6.677        6.533       +0.143
mean nhitOT barrel               10.072       10.151       -0.080
mean nhitOT transition           10.006       10.008       -0.003
mean nhitOT endcap                3.902        3.560       +0.341
n TC (fr denom)                  125304       120786        +4518
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_r1_am1.json
