A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_r1_am1_d5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3197       0.3277      -0.0080
eff overall (pt>0.9)             0.7913       0.8122      -0.0209
eff vxy [0,1)                    0.8230       0.8437      -0.0207
eff vxy [1,5)                    0.7204       0.7491      -0.0287
eff vxy [5,10)                   0.5138       0.6147      -0.1009
eff vxy [10,30)                  0.5478       0.6391      -0.0913
eff dxy [0,1)                    0.8067       0.8284      -0.0216
eff dxy [1,5)                    0.4461       0.5392      -0.0931
eff dxy [5,10)                   0.2778       0.2037      +0.0741
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.8838       0.9179      -0.0341
eff transition 1.1-1.7           0.8593       0.8887      -0.0294
eff endcap >1.7                  0.7332       0.7373      -0.0041
dup rate (pt sums)               0.0906       0.0485      +0.0422
dup rate (pt>0.9)                0.0977       0.0496      +0.0480
dup rate barrel                  0.0258       0.0098      +0.0160
dup rate transition              0.0638       0.0123      +0.0515
dup rate endcap                  0.1456       0.0821      +0.0635
fake rate (pt sums)              0.0738       0.0432      +0.0306
fake rate (pt>0.9)               0.0760       0.0435      +0.0324
fake rate barrel                 0.0893       0.0421      +0.0471
fake rate transition             0.1076       0.0426      +0.0651
fake rate endcap                 0.0596       0.0446      +0.0150
mean nhitOT                       6.665        6.533       +0.132
mean nhitOT barrel               10.063       10.151       -0.088
mean nhitOT transition           10.002       10.008       -0.007
mean nhitOT endcap                3.888        3.560       +0.328
n TC (fr denom)                  125114       120786        +4328
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout3/m16/t60_r1_am1_d5.json
