A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_d2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3230       0.3264      -0.0034
eff overall (pt>0.9)             0.8039       0.8136      -0.0097
eff vxy [0,1)                    0.8367       0.8473      -0.0106
eff vxy [1,5)                    0.7894       0.7731      +0.0163
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.7002       0.6291      +0.0711
eff dxy [0,1)                    0.8306       0.8342      -0.0036
eff dxy [1,5)                    0.5451       0.4989      +0.0461
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9114       0.9242      -0.0128
eff transition 1.1-1.7           0.8638       0.8826      -0.0188
eff endcap >1.7                  0.7521       0.7556      -0.0034
dup rate (pt sums)               0.0614       0.0499      +0.0115
dup rate (pt>0.9)                0.0637       0.0513      +0.0124
dup rate barrel                  0.0141       0.0097      +0.0044
dup rate transition              0.0247       0.0130      +0.0117
dup rate endcap                  0.1008       0.0846      +0.0162
fake rate (pt sums)              0.0488       0.0451      +0.0037
fake rate (pt>0.9)               0.0504       0.0455      +0.0049
fake rate barrel                 0.0516       0.0437      +0.0079
fake rate transition             0.0696       0.0459      +0.0237
fake rate endcap                 0.0443       0.0463      -0.0020
mean nhitOT                       6.288        6.514       -0.226
mean nhitOT barrel                9.808       10.151       -0.342
mean nhitOT transition            9.801       10.010       -0.209
mean nhitOT endcap                3.442        3.559       -0.117
n TC (fr denom)                  615457       610581        +4876
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_d2.json
