A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_f035_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3222       0.3264      -0.0042
eff overall (pt>0.9)             0.8017       0.8136      -0.0118
eff vxy [0,1)                    0.8344       0.8473      -0.0129
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7177       0.6530      +0.0647
eff vxy [10,30)                  0.6944       0.6291      +0.0654
eff dxy [0,1)                    0.8283       0.8342      -0.0059
eff dxy [1,5)                    0.5386       0.4989      +0.0397
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9090       0.9242      -0.0152
eff transition 1.1-1.7           0.8601       0.8826      -0.0225
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0647       0.0499      +0.0147
dup rate (pt>0.9)                0.0675       0.0513      +0.0162
dup rate barrel                  0.0188       0.0097      +0.0090
dup rate transition              0.0337       0.0130      +0.0207
dup rate endcap                  0.1029       0.0846      +0.0183
fake rate (pt sums)              0.0529       0.0451      +0.0078
fake rate (pt>0.9)               0.0549       0.0455      +0.0094
fake rate barrel                 0.0569       0.0437      +0.0132
fake rate transition             0.0792       0.0459      +0.0333
fake rate endcap                 0.0468       0.0463      +0.0004
mean nhitOT                       6.541        6.514       +0.027
mean nhitOT barrel               10.052       10.151       -0.099
mean nhitOT transition           10.001       10.010       -0.009
mean nhitOT endcap                3.700        3.559       +0.141
n TC (fr denom)                  618212       610581        +7631
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_f035.json
