A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_g3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3234       0.3264      -0.0030
eff overall (pt>0.9)             0.8050       0.8136      -0.0086
eff vxy [0,1)                    0.8377       0.8473      -0.0096
eff vxy [1,5)                    0.7915       0.7731      +0.0184
eff vxy [5,10)                   0.7208       0.6530      +0.0678
eff vxy [10,30)                  0.6953       0.6291      +0.0662
eff dxy [0,1)                    0.8318       0.8342      -0.0025
eff dxy [1,5)                    0.5333       0.4989      +0.0343
eff dxy [5,10)                   0.2421       0.2281      +0.0140
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9135       0.9242      -0.0107
eff transition 1.1-1.7           0.8656       0.8826      -0.0170
eff endcap >1.7                  0.7519       0.7556      -0.0037
dup rate (pt sums)               0.0591       0.0499      +0.0092
dup rate (pt>0.9)                0.0609       0.0513      +0.0096
dup rate barrel                  0.0131       0.0097      +0.0033
dup rate transition              0.0218       0.0130      +0.0088
dup rate endcap                  0.0971       0.0846      +0.0126
fake rate (pt sums)              0.0473       0.0451      +0.0022
fake rate (pt>0.9)               0.0487       0.0455      +0.0032
fake rate barrel                 0.0475       0.0437      +0.0038
fake rate transition             0.0673       0.0459      +0.0214
fake rate endcap                 0.0439       0.0463      -0.0024
mean nhitOT                       6.391        6.514       -0.123
mean nhitOT barrel                9.963       10.151       -0.188
mean nhitOT transition            9.888       10.010       -0.122
mean nhitOT endcap                3.525        3.559       -0.035
n TC (fr denom)                  614119       610581        +3538
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_g3.json
