A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_h3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3236       0.3264      -0.0029
eff overall (pt>0.9)             0.8053       0.8136      -0.0083
eff vxy [0,1)                    0.8381       0.8473      -0.0092
eff vxy [1,5)                    0.7915       0.7731      +0.0184
eff vxy [5,10)                   0.7208       0.6530      +0.0678
eff vxy [10,30)                  0.6993       0.6291      +0.0703
eff dxy [0,1)                    0.8321       0.8342      -0.0021
eff dxy [1,5)                    0.5440       0.4989      +0.0451
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9139       0.9242      -0.0102
eff transition 1.1-1.7           0.8656       0.8826      -0.0170
eff endcap >1.7                  0.7524       0.7556      -0.0032
dup rate (pt sums)               0.0618       0.0499      +0.0119
dup rate (pt>0.9)                0.0641       0.0513      +0.0127
dup rate barrel                  0.0145       0.0097      +0.0047
dup rate transition              0.0265       0.0130      +0.0135
dup rate endcap                  0.1007       0.0846      +0.0162
fake rate (pt sums)              0.0485       0.0451      +0.0034
fake rate (pt>0.9)               0.0500       0.0455      +0.0045
fake rate barrel                 0.0507       0.0437      +0.0069
fake rate transition             0.0688       0.0459      +0.0230
fake rate endcap                 0.0443       0.0463      -0.0020
mean nhitOT                       6.395        6.514       -0.118
mean nhitOT barrel                9.953       10.151       -0.198
mean nhitOT transition            9.878       10.010       -0.132
mean nhitOT endcap                3.536        3.559       -0.023
n TC (fr denom)                  616025       610581        +5444
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_h3.json
