A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_k4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3239       0.3264      -0.0026
eff overall (pt>0.9)             0.8060       0.8136      -0.0075
eff vxy [0,1)                    0.8388       0.8473      -0.0085
eff vxy [1,5)                    0.7915       0.7731      +0.0184
eff vxy [5,10)                   0.7114       0.6530      +0.0584
eff vxy [10,30)                  0.6969       0.6291      +0.0678
eff dxy [0,1)                    0.8324       0.8342      -0.0018
eff dxy [1,5)                    0.5440       0.4989      +0.0451
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9139       0.9242      -0.0102
eff transition 1.1-1.7           0.8681       0.8826      -0.0145
eff endcap >1.7                  0.7530       0.7556      -0.0026
dup rate (pt sums)               0.0623       0.0499      +0.0124
dup rate (pt>0.9)                0.0647       0.0513      +0.0134
dup rate barrel                  0.0150       0.0097      +0.0052
dup rate transition              0.0271       0.0130      +0.0140
dup rate endcap                  0.1015       0.0846      +0.0169
fake rate (pt sums)              0.0485       0.0451      +0.0034
fake rate (pt>0.9)               0.0501       0.0455      +0.0046
fake rate barrel                 0.0511       0.0437      +0.0074
fake rate transition             0.0690       0.0459      +0.0231
fake rate endcap                 0.0441       0.0463      -0.0022
mean nhitOT                       6.337        6.514       -0.176
mean nhitOT barrel                9.857       10.151       -0.294
mean nhitOT transition            9.809       10.010       -0.201
mean nhitOT endcap                3.500        3.559       -0.059
n TC (fr denom)                  616467       610581        +5886
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_k4.json
