A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_m2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3238       0.3264      -0.0027
eff overall (pt>0.9)             0.8060       0.8136      -0.0076
eff vxy [0,1)                    0.8387       0.8473      -0.0087
eff vxy [1,5)                    0.7936       0.7731      +0.0205
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.7010       0.6291      +0.0719
eff dxy [0,1)                    0.8328       0.8342      -0.0014
eff dxy [1,5)                    0.5472       0.4989      +0.0483
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9147       0.9242      -0.0094
eff transition 1.1-1.7           0.8671       0.8826      -0.0155
eff endcap >1.7                  0.7526       0.7556      -0.0030
dup rate (pt sums)               0.0606       0.0499      +0.0107
dup rate (pt>0.9)                0.0629       0.0513      +0.0115
dup rate barrel                  0.0138       0.0097      +0.0040
dup rate transition              0.0257       0.0130      +0.0126
dup rate endcap                  0.0992       0.0846      +0.0146
fake rate (pt sums)              0.0477       0.0451      +0.0025
fake rate (pt>0.9)               0.0491       0.0455      +0.0036
fake rate barrel                 0.0496       0.0437      +0.0059
fake rate transition             0.0665       0.0459      +0.0206
fake rate endcap                 0.0438       0.0463      -0.0025
mean nhitOT                       6.342        6.514       -0.172
mean nhitOT barrel                9.921       10.151       -0.229
mean nhitOT transition            9.780       10.010       -0.229
mean nhitOT endcap                3.485        3.559       -0.075
n TC (fr denom)                  615146       610581        +4565
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_m2.json
