A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_m4_40_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3222       0.3264      -0.0042
eff overall (pt>0.9)             0.8017       0.8136      -0.0119
eff vxy [0,1)                    0.8344       0.8473      -0.0130
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7098       0.6530      +0.0568
eff vxy [10,30)                  0.6961       0.6291      +0.0670
eff dxy [0,1)                    0.8281       0.8342      -0.0061
eff dxy [1,5)                    0.5418       0.4989      +0.0429
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9091       0.9242      -0.0151
eff transition 1.1-1.7           0.8603       0.8826      -0.0223
eff endcap >1.7                  0.7504       0.7556      -0.0052
dup rate (pt sums)               0.0604       0.0499      +0.0105
dup rate (pt>0.9)                0.0627       0.0513      +0.0114
dup rate barrel                  0.0156       0.0097      +0.0058
dup rate transition              0.0272       0.0130      +0.0142
dup rate endcap                  0.0976       0.0846      +0.0130
fake rate (pt sums)              0.0518       0.0451      +0.0067
fake rate (pt>0.9)               0.0537       0.0455      +0.0082
fake rate barrel                 0.0553       0.0437      +0.0116
fake rate transition             0.0766       0.0459      +0.0307
fake rate endcap                 0.0462       0.0463      -0.0001
mean nhitOT                       6.520        6.514       +0.006
mean nhitOT barrel               10.044       10.151       -0.106
mean nhitOT transition            9.989       10.010       -0.021
mean nhitOT endcap                3.672        3.559       +0.113
n TC (fr denom)                  615763       610581        +5182
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_m4_40.json
