A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_mri_025_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3224       0.3264      -0.0041
eff overall (pt>0.9)             0.8022       0.8136      -0.0114
eff vxy [0,1)                    0.8349       0.8473      -0.0124
eff vxy [1,5)                    0.7859       0.7731      +0.0127
eff vxy [5,10)                   0.7145       0.6530      +0.0615
eff vxy [10,30)                  0.6953       0.6291      +0.0662
eff dxy [0,1)                    0.8288       0.8342      -0.0055
eff dxy [1,5)                    0.5397       0.4989      +0.0408
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9096       0.9242      -0.0146
eff transition 1.1-1.7           0.8616       0.8826      -0.0210
eff endcap >1.7                  0.7506       0.7556      -0.0050
dup rate (pt sums)               0.0619       0.0499      +0.0120
dup rate (pt>0.9)                0.0643       0.0513      +0.0130
dup rate barrel                  0.0158       0.0097      +0.0060
dup rate transition              0.0284       0.0130      +0.0154
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0519       0.0451      +0.0068
fake rate (pt>0.9)               0.0538       0.0455      +0.0083
fake rate barrel                 0.0556       0.0437      +0.0118
fake rate transition             0.0768       0.0459      +0.0310
fake rate endcap                 0.0462       0.0463      -0.0001
mean nhitOT                       6.524        6.514       +0.011
mean nhitOT barrel               10.046       10.151       -0.104
mean nhitOT transition            9.988       10.010       -0.022
mean nhitOT endcap                3.680        3.559       +0.121
n TC (fr denom)                  616797       610581        +6216
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_mri_025.json
