A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_mri_m05_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3226       0.3264      -0.0039
eff overall (pt>0.9)             0.8026       0.8136      -0.0109
eff vxy [0,1)                    0.8353       0.8473      -0.0120
eff vxy [1,5)                    0.7873       0.7731      +0.0141
eff vxy [5,10)                   0.7129       0.6530      +0.0599
eff vxy [10,30)                  0.6944       0.6291      +0.0654
eff dxy [0,1)                    0.8292       0.8342      -0.0050
eff dxy [1,5)                    0.5386       0.4989      +0.0397
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9097       0.9242      -0.0145
eff transition 1.1-1.7           0.8636       0.8826      -0.0190
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0621       0.0499      +0.0121
dup rate (pt>0.9)                0.0645       0.0513      +0.0132
dup rate barrel                  0.0161       0.0097      +0.0064
dup rate transition              0.0287       0.0130      +0.0157
dup rate endcap                  0.1002       0.0846      +0.0156
fake rate (pt sums)              0.0525       0.0451      +0.0074
fake rate (pt>0.9)               0.0544       0.0455      +0.0089
fake rate barrel                 0.0568       0.0437      +0.0130
fake rate transition             0.0780       0.0459      +0.0322
fake rate endcap                 0.0464       0.0463      +0.0001
mean nhitOT                       6.530        6.514       +0.016
mean nhitOT barrel               10.049       10.151       -0.101
mean nhitOT transition            9.991       10.010       -0.019
mean nhitOT endcap                3.682        3.559       +0.123
n TC (fr denom)                  617395       610581        +6814
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_mri_m05.json
