A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_n1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3240       0.3264      -0.0025
eff overall (pt>0.9)             0.8065       0.8136      -0.0071
eff vxy [0,1)                    0.8391       0.8473      -0.0082
eff vxy [1,5)                    0.7951       0.7731      +0.0219
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.7034       0.6291      +0.0743
eff dxy [0,1)                    0.8333       0.8342      -0.0009
eff dxy [1,5)                    0.5515       0.4989      +0.0526
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9152       0.9242      -0.0090
eff transition 1.1-1.7           0.8676       0.8826      -0.0150
eff endcap >1.7                  0.7533       0.7556      -0.0023
dup rate (pt sums)               0.0625       0.0499      +0.0126
dup rate (pt>0.9)                0.0650       0.0513      +0.0137
dup rate barrel                  0.0147       0.0097      +0.0049
dup rate transition              0.0291       0.0130      +0.0161
dup rate endcap                  0.1016       0.0846      +0.0171
fake rate (pt sums)              0.0474       0.0451      +0.0023
fake rate (pt>0.9)               0.0490       0.0455      +0.0035
fake rate barrel                 0.0495       0.0437      +0.0058
fake rate transition             0.0674       0.0459      +0.0216
fake rate endcap                 0.0435       0.0463      -0.0029
mean nhitOT                       6.221        6.514       -0.293
mean nhitOT barrel                9.781       10.151       -0.370
mean nhitOT transition            9.523       10.010       -0.486
mean nhitOT endcap                3.420        3.559       -0.140
n TC (fr denom)                  615834       610581        +5253
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_n1.json
