A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_p2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3239       0.3264      -0.0025
eff overall (pt>0.9)             0.8064       0.8136      -0.0071
eff vxy [0,1)                    0.8391       0.8473      -0.0082
eff vxy [1,5)                    0.7943       0.7731      +0.0212
eff vxy [5,10)                   0.7145       0.6530      +0.0615
eff vxy [10,30)                  0.7059       0.6291      +0.0768
eff dxy [0,1)                    0.8332       0.8342      -0.0010
eff dxy [1,5)                    0.5536       0.4989      +0.0547
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9152       0.9242      -0.0090
eff transition 1.1-1.7           0.8673       0.8826      -0.0153
eff endcap >1.7                  0.7533       0.7556      -0.0023
dup rate (pt sums)               0.0622       0.0499      +0.0123
dup rate (pt>0.9)                0.0647       0.0513      +0.0134
dup rate barrel                  0.0147       0.0097      +0.0049
dup rate transition              0.0292       0.0130      +0.0162
dup rate endcap                  0.1010       0.0846      +0.0164
fake rate (pt sums)              0.0472       0.0451      +0.0021
fake rate (pt>0.9)               0.0488       0.0455      +0.0033
fake rate barrel                 0.0491       0.0437      +0.0054
fake rate transition             0.0673       0.0459      +0.0215
fake rate endcap                 0.0434       0.0463      -0.0030
mean nhitOT                       6.162        6.514       -0.351
mean nhitOT barrel                9.664       10.151       -0.487
mean nhitOT transition            9.442       10.010       -0.567
mean nhitOT endcap                3.400        3.559       -0.159
n TC (fr denom)                  615512       610581        +4931
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_p2.json
