A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_q4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3241       0.3264      -0.0024
eff overall (pt>0.9)             0.8066       0.8136      -0.0069
eff vxy [0,1)                    0.8392       0.8473      -0.0081
eff vxy [1,5)                    0.7958       0.7731      +0.0226
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7010       0.6291      +0.0719
eff dxy [0,1)                    0.8335       0.8342      -0.0007
eff dxy [1,5)                    0.5472       0.4989      +0.0483
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9153       0.9242      -0.0089
eff transition 1.1-1.7           0.8681       0.8826      -0.0145
eff endcap >1.7                  0.7533       0.7556      -0.0023
dup rate (pt sums)               0.0628       0.0499      +0.0128
dup rate (pt>0.9)                0.0652       0.0513      +0.0139
dup rate barrel                  0.0151       0.0097      +0.0054
dup rate transition              0.0290       0.0130      +0.0160
dup rate endcap                  0.1018       0.0846      +0.0173
fake rate (pt sums)              0.0476       0.0451      +0.0025
fake rate (pt>0.9)               0.0491       0.0455      +0.0036
fake rate barrel                 0.0502       0.0437      +0.0064
fake rate transition             0.0666       0.0459      +0.0207
fake rate endcap                 0.0436       0.0463      -0.0027
mean nhitOT                       6.316        6.514       -0.198
mean nhitOT barrel                9.885       10.151       -0.266
mean nhitOT transition            9.710       10.010       -0.300
mean nhitOT endcap                3.474        3.559       -0.086
n TC (fr denom)                  616594       610581        +6013
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_q4.json
