A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_r5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3243       0.3264      -0.0021
eff overall (pt>0.9)             0.8072       0.8136      -0.0064
eff vxy [0,1)                    0.8399       0.8473      -0.0074
eff vxy [1,5)                    0.7943       0.7731      +0.0212
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7034       0.6291      +0.0743
eff dxy [0,1)                    0.8340       0.8342      -0.0002
eff dxy [1,5)                    0.5515       0.4989      +0.0526
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9169       0.9242      -0.0073
eff transition 1.1-1.7           0.8681       0.8826      -0.0145
eff endcap >1.7                  0.7531       0.7556      -0.0024
dup rate (pt sums)               0.0621       0.0499      +0.0122
dup rate (pt>0.9)                0.0645       0.0513      +0.0132
dup rate barrel                  0.0148       0.0097      +0.0051
dup rate transition              0.0290       0.0130      +0.0160
dup rate endcap                  0.1008       0.0846      +0.0162
fake rate (pt sums)              0.0481       0.0451      +0.0030
fake rate (pt>0.9)               0.0495       0.0455      +0.0040
fake rate barrel                 0.0509       0.0437      +0.0072
fake rate transition             0.0679       0.0459      +0.0220
fake rate endcap                 0.0436       0.0463      -0.0028
mean nhitOT                       6.228        6.514       -0.286
mean nhitOT barrel                9.783       10.151       -0.367
mean nhitOT transition            9.529       10.010       -0.481
mean nhitOT endcap                3.419        3.559       -0.140
n TC (fr denom)                  617179       610581        +6598
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_r5.json
