A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_s7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3243       0.3264      -0.0022
eff overall (pt>0.9)             0.8071       0.8136      -0.0065
eff vxy [0,1)                    0.8398       0.8473      -0.0075
eff vxy [1,5)                    0.7943       0.7731      +0.0212
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7034       0.6291      +0.0743
eff dxy [0,1)                    0.8339       0.8342      -0.0003
eff dxy [1,5)                    0.5536       0.4989      +0.0547
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9166       0.9242      -0.0075
eff transition 1.1-1.7           0.8683       0.8826      -0.0143
eff endcap >1.7                  0.7530       0.7556      -0.0026
dup rate (pt sums)               0.0615       0.0499      +0.0116
dup rate (pt>0.9)                0.0639       0.0513      +0.0126
dup rate barrel                  0.0150       0.0097      +0.0053
dup rate transition              0.0288       0.0130      +0.0158
dup rate endcap                  0.0998       0.0846      +0.0152
fake rate (pt sums)              0.0495       0.0451      +0.0044
fake rate (pt>0.9)               0.0509       0.0455      +0.0054
fake rate barrel                 0.0534       0.0437      +0.0097
fake rate transition             0.0706       0.0459      +0.0247
fake rate endcap                 0.0439       0.0463      -0.0024
mean nhitOT                       6.234        6.514       -0.280
mean nhitOT barrel                9.784       10.151       -0.366
mean nhitOT transition            9.533       10.010       -0.477
mean nhitOT endcap                3.418        3.559       -0.141
n TC (fr denom)                  618002       610581        +7421
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_s7.json
