A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_t1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3244       0.3264      -0.0021
eff overall (pt>0.9)             0.8072       0.8136      -0.0063
eff vxy [0,1)                    0.8399       0.8473      -0.0074
eff vxy [1,5)                    0.7965       0.7731      +0.0233
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.7042       0.6291      +0.0752
eff dxy [0,1)                    0.8340       0.8342      -0.0002
eff dxy [1,5)                    0.5536       0.4989      +0.0547
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9165       0.9242      -0.0076
eff transition 1.1-1.7           0.8696       0.8826      -0.0130
eff endcap >1.7                  0.7529       0.7556      -0.0027
dup rate (pt sums)               0.0607       0.0499      +0.0107
dup rate (pt>0.9)                0.0630       0.0513      +0.0116
dup rate barrel                  0.0157       0.0097      +0.0060
dup rate transition              0.0287       0.0130      +0.0157
dup rate endcap                  0.0978       0.0846      +0.0133
fake rate (pt sums)              0.0512       0.0451      +0.0061
fake rate (pt>0.9)               0.0523       0.0455      +0.0068
fake rate barrel                 0.0578       0.0437      +0.0141
fake rate transition             0.0712       0.0459      +0.0253
fake rate endcap                 0.0441       0.0463      -0.0023
mean nhitOT                       6.241        6.514       -0.273
mean nhitOT barrel                9.786       10.151       -0.365
mean nhitOT transition            9.538       10.010       -0.472
mean nhitOT endcap                3.414        3.559       -0.145
n TC (fr denom)                  619062       610581        +8481
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_t1.json
