A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_tr1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3228       0.3264      -0.0036
eff overall (pt>0.9)             0.8033       0.8136      -0.0103
eff vxy [0,1)                    0.8360       0.8473      -0.0114
eff vxy [1,5)                    0.7880       0.7731      +0.0148
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.6985       0.6291      +0.0694
eff dxy [0,1)                    0.8299       0.8342      -0.0044
eff dxy [1,5)                    0.5451       0.4989      +0.0461
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9123       0.9242      -0.0119
eff transition 1.1-1.7           0.8628       0.8826      -0.0198
eff endcap >1.7                  0.7501       0.7556      -0.0054
dup rate (pt sums)               0.0637       0.0499      +0.0138
dup rate (pt>0.9)                0.0664       0.0513      +0.0151
dup rate barrel                  0.0163       0.0097      +0.0066
dup rate transition              0.0296       0.0130      +0.0165
dup rate endcap                  0.1033       0.0846      +0.0187
fake rate (pt sums)              0.0508       0.0451      +0.0057
fake rate (pt>0.9)               0.0526       0.0455      +0.0071
fake rate barrel                 0.0541       0.0437      +0.0103
fake rate transition             0.0745       0.0459      +0.0286
fake rate endcap                 0.0455       0.0463      -0.0008
mean nhitOT                       6.376        6.514       -0.138
mean nhitOT barrel                9.933       10.151       -0.217
mean nhitOT transition            9.883       10.010       -0.127
mean nhitOT endcap                3.504        3.559       -0.055
n TC (fr denom)                  617325       610581        +6744
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_tr1.json
