A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_tr1ta3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3225       0.3264      -0.0039
eff overall (pt>0.9)             0.8026       0.8136      -0.0110
eff vxy [0,1)                    0.8353       0.8473      -0.0120
eff vxy [1,5)                    0.7859       0.7731      +0.0127
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.6953       0.6291      +0.0662
eff dxy [0,1)                    0.8291       0.8342      -0.0052
eff dxy [1,5)                    0.5429       0.4989      +0.0440
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9102       0.9242      -0.0139
eff transition 1.1-1.7           0.8616       0.8826      -0.0210
eff endcap >1.7                  0.7509       0.7556      -0.0047
dup rate (pt sums)               0.0622       0.0499      +0.0123
dup rate (pt>0.9)                0.0647       0.0513      +0.0134
dup rate barrel                  0.0157       0.0097      +0.0060
dup rate transition              0.0287       0.0130      +0.0157
dup rate endcap                  0.1007       0.0846      +0.0161
fake rate (pt sums)              0.0510       0.0451      +0.0059
fake rate (pt>0.9)               0.0527       0.0455      +0.0072
fake rate barrel                 0.0545       0.0437      +0.0108
fake rate transition             0.0747       0.0459      +0.0289
fake rate endcap                 0.0455       0.0463      -0.0009
mean nhitOT                       6.480        6.514       -0.034
mean nhitOT barrel               10.030       10.151       -0.120
mean nhitOT transition            9.959       10.010       -0.050
mean nhitOT endcap                3.617        3.559       +0.058
n TC (fr denom)                  616675       610581        +6094
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_tr1ta3.json
