A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_tt8_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3226       0.3264      -0.0039
eff overall (pt>0.9)             0.8028       0.8136      -0.0108
eff vxy [0,1)                    0.8355       0.8473      -0.0118
eff vxy [1,5)                    0.7866       0.7731      +0.0134
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.6969       0.6291      +0.0678
eff dxy [0,1)                    0.8294       0.8342      -0.0049
eff dxy [1,5)                    0.5429       0.4989      +0.0440
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9108       0.9242      -0.0134
eff transition 1.1-1.7           0.8628       0.8826      -0.0198
eff endcap >1.7                  0.7503       0.7556      -0.0053
dup rate (pt sums)               0.0634       0.0499      +0.0135
dup rate (pt>0.9)                0.0661       0.0513      +0.0148
dup rate barrel                  0.0161       0.0097      +0.0064
dup rate transition              0.0290       0.0130      +0.0160
dup rate endcap                  0.1029       0.0846      +0.0184
fake rate (pt sums)              0.0512       0.0451      +0.0061
fake rate (pt>0.9)               0.0530       0.0455      +0.0075
fake rate barrel                 0.0544       0.0437      +0.0107
fake rate transition             0.0752       0.0459      +0.0293
fake rate endcap                 0.0459       0.0463      -0.0004
mean nhitOT                       6.401        6.514       -0.113
mean nhitOT barrel                9.974       10.151       -0.177
mean nhitOT transition            9.912       10.010       -0.098
mean nhitOT endcap                3.520        3.559       -0.039
n TC (fr denom)                  617190       610581        +6609
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/cheapwins/ab_tt8.json
