A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_F05_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3232       0.3264      -0.0033
eff overall (pt>0.9)             0.8043       0.8136      -0.0092
eff vxy [0,1)                    0.8371       0.8473      -0.0103
eff vxy [1,5)                    0.7887       0.7731      +0.0155
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7051       0.6291      +0.0760
eff dxy [0,1)                    0.8314       0.8342      -0.0028
eff dxy [1,5)                    0.5494       0.4989      +0.0504
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9117       0.9242      -0.0125
eff transition 1.1-1.7           0.8661       0.8826      -0.0165
eff endcap >1.7                  0.7519       0.7556      -0.0037
dup rate (pt sums)               0.1135       0.0499      +0.0636
dup rate (pt>0.9)                0.1225       0.0513      +0.0712
dup rate barrel                  0.0673       0.0097      +0.0576
dup rate transition              0.1169       0.0130      +0.1038
dup rate endcap                  0.1535       0.0846      +0.0689
fake rate (pt sums)              0.0621       0.0451      +0.0170
fake rate (pt>0.9)               0.0648       0.0455      +0.0194
fake rate barrel                 0.0746       0.0437      +0.0309
fake rate transition             0.0980       0.0459      +0.0522
fake rate endcap                 0.0497       0.0463      +0.0033
mean nhitOT                       6.683        6.514       +0.169
mean nhitOT barrel               10.047       10.151       -0.104
mean nhitOT transition            9.990       10.010       -0.020
mean nhitOT endcap                3.899        3.559       +0.340
n TC (fr denom)                  643382       610581       +32801
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_F05.json
