A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_F05_DD3_DF04_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3222       0.3264      -0.0043
eff overall (pt>0.9)             0.8017       0.8136      -0.0119
eff vxy [0,1)                    0.8343       0.8473      -0.0130
eff vxy [1,5)                    0.7845       0.7731      +0.0113
eff vxy [5,10)                   0.7177       0.6530      +0.0647
eff vxy [10,30)                  0.6953       0.6291      +0.0662
eff dxy [0,1)                    0.8282       0.8342      -0.0060
eff dxy [1,5)                    0.5408       0.4989      +0.0418
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9088       0.9242      -0.0154
eff transition 1.1-1.7           0.8601       0.8826      -0.0225
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0623       0.0499      +0.0124
dup rate (pt>0.9)                0.0648       0.0513      +0.0135
dup rate barrel                  0.0168       0.0097      +0.0071
dup rate transition              0.0296       0.0130      +0.0166
dup rate endcap                  0.1004       0.0846      +0.0158
fake rate (pt sums)              0.0555       0.0451      +0.0104
fake rate (pt>0.9)               0.0578       0.0455      +0.0123
fake rate barrel                 0.0632       0.0437      +0.0195
fake rate transition             0.0838       0.0459      +0.0380
fake rate endcap                 0.0474       0.0463      +0.0010
mean nhitOT                       6.544        6.514       +0.030
mean nhitOT barrel               10.048       10.151       -0.103
mean nhitOT transition            9.996       10.010       -0.014
mean nhitOT endcap                3.694        3.559       +0.134
n TC (fr denom)                  619104       610581        +8523
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_F05_DD3_DF04.json
