A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_F05_DD4_K1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3220       0.3264      -0.0044
eff overall (pt>0.9)             0.8011       0.8136      -0.0124
eff vxy [0,1)                    0.8338       0.8473      -0.0135
eff vxy [1,5)                    0.7837       0.7731      +0.0106
eff vxy [5,10)                   0.7098       0.6530      +0.0568
eff vxy [10,30)                  0.6920       0.6291      +0.0629
eff dxy [0,1)                    0.8275       0.8342      -0.0068
eff dxy [1,5)                    0.5376       0.4989      +0.0386
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9084       0.9242      -0.0157
eff transition 1.1-1.7           0.8591       0.8826      -0.0235
eff endcap >1.7                  0.7501       0.7556      -0.0054
dup rate (pt sums)               0.0597       0.0499      +0.0097
dup rate (pt>0.9)                0.0617       0.0513      +0.0104
dup rate barrel                  0.0141       0.0097      +0.0043
dup rate transition              0.0251       0.0130      +0.0121
dup rate endcap                  0.0974       0.0846      +0.0128
fake rate (pt sums)              0.0547       0.0451      +0.0096
fake rate (pt>0.9)               0.0568       0.0455      +0.0113
fake rate barrel                 0.0620       0.0437      +0.0183
fake rate transition             0.0823       0.0459      +0.0365
fake rate endcap                 0.0467       0.0463      +0.0004
mean nhitOT                       6.527        6.514       +0.013
mean nhitOT barrel               10.043       10.151       -0.108
mean nhitOT transition            9.989       10.010       -0.021
mean nhitOT endcap                3.672        3.559       +0.112
n TC (fr denom)                  617314       610581        +6733
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_F05_DD4_K1.json
