A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_FS06_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3234       0.3264      -0.0031
eff overall (pt>0.9)             0.8048       0.8136      -0.0087
eff vxy [0,1)                    0.8375       0.8473      -0.0098
eff vxy [1,5)                    0.7901       0.7731      +0.0170
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7083       0.6291      +0.0792
eff dxy [0,1)                    0.8321       0.8342      -0.0022
eff dxy [1,5)                    0.5526       0.4989      +0.0536
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9121       0.9242      -0.0120
eff transition 1.1-1.7           0.8681       0.8826      -0.0145
eff endcap >1.7                  0.7518       0.7556      -0.0038
dup rate (pt sums)               0.1193       0.0499      +0.0694
dup rate (pt>0.9)                0.1290       0.0513      +0.0777
dup rate barrel                  0.0730       0.0097      +0.0632
dup rate transition              0.1247       0.0130      +0.1116
dup rate endcap                  0.1602       0.0846      +0.0757
fake rate (pt sums)              0.0651       0.0451      +0.0200
fake rate (pt>0.9)               0.0681       0.0455      +0.0226
fake rate barrel                 0.0798       0.0437      +0.0361
fake rate transition             0.1047       0.0459      +0.0588
fake rate endcap                 0.0508       0.0463      +0.0044
mean nhitOT                       6.710        6.514       +0.196
mean nhitOT barrel               10.047       10.151       -0.104
mean nhitOT transition            9.990       10.010       -0.020
mean nhitOT endcap                3.933        3.559       +0.373
n TC (fr denom)                  648176       610581       +37595
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/claimshare/cs_FS06.json
