A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs1_bkt5fs_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3271       0.3264      +0.0006
eff overall (pt>0.9)             0.8147       0.8136      +0.0011
eff vxy [0,1)                    0.8476       0.8473      +0.0003
eff vxy [1,5)                    0.8071       0.7731      +0.0339
eff vxy [5,10)                   0.7413       0.6530      +0.0883
eff vxy [10,30)                  0.7279       0.6291      +0.0989
eff dxy [0,1)                    0.8427       0.8342      +0.0085
eff dxy [1,5)                    0.5719       0.4989      +0.0730
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9258       0.9242      +0.0016
eff transition 1.1-1.7           0.8841       0.8826      +0.0015
eff endcap >1.7                  0.7563       0.7556      +0.0007
dup rate (pt sums)               0.1248       0.0499      +0.0749
dup rate (pt>0.9)                0.1336       0.0513      +0.0823
dup rate barrel                  0.0835       0.0097      +0.0738
dup rate transition              0.1400       0.0130      +0.1270
dup rate endcap                  0.1591       0.0846      +0.0745
fake rate (pt sums)              0.0610       0.0451      +0.0159
fake rate (pt>0.9)               0.0628       0.0455      +0.0173
fake rate barrel                 0.0779       0.0437      +0.0342
fake rate transition             0.0904       0.0459      +0.0445
fake rate endcap                 0.0463       0.0463      -0.0000
mean nhitOT                       6.356        6.514       -0.157
mean nhitOT barrel                9.678       10.151       -0.473
mean nhitOT transition            9.447       10.010       -0.563
mean nhitOT endcap                3.609        3.559       +0.050
n TC (fr denom)                  653072       610581       +42491
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs1_bkt5fs.json
