A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_ctr0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3255       0.3264      -0.0009
eff overall (pt>0.9)             0.8104       0.8136      -0.0031
eff vxy [0,1)                    0.8433       0.8473      -0.0041
eff vxy [1,5)                    0.7972       0.7731      +0.0240
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8377       0.8342      +0.0035
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9220       0.9242      -0.0021
eff transition 1.1-1.7           0.8761       0.8826      -0.0065
eff endcap >1.7                  0.7527       0.7556      -0.0029
dup rate (pt sums)               0.0600       0.0499      +0.0101
dup rate (pt>0.9)                0.0619       0.0513      +0.0106
dup rate barrel                  0.0146       0.0097      +0.0049
dup rate transition              0.0239       0.0130      +0.0109
dup rate endcap                  0.0978       0.0846      +0.0132
fake rate (pt sums)              0.0478       0.0451      +0.0027
fake rate (pt>0.9)               0.0486       0.0455      +0.0031
fake rate barrel                 0.0535       0.0437      +0.0098
fake rate transition             0.0588       0.0459      +0.0129
fake rate endcap                 0.0431       0.0463      -0.0032
mean nhitOT                       6.393        6.514       -0.121
mean nhitOT barrel                9.885       10.151       -0.266
mean nhitOT transition            9.822       10.010       -0.188
mean nhitOT endcap                3.568        3.559       +0.009
n TC (fr denom)                  617716       610581        +7135
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_ctr0.json
