A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3264      +0.0002
eff overall (pt>0.9)             0.8136       0.8136      +0.0000
eff vxy [0,1)                    0.8466       0.8473      -0.0008
eff vxy [1,5)                    0.8028       0.7731      +0.0297
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7059       0.6291      +0.0768
eff dxy [0,1)                    0.8405       0.8342      +0.0063
eff dxy [1,5)                    0.5569       0.4989      +0.0579
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9254       0.9242      +0.0012
eff transition 1.1-1.7           0.8826       0.8826      +0.0000
eff endcap >1.7                  0.7545       0.7556      -0.0011
dup rate (pt sums)               0.0596       0.0499      +0.0097
dup rate (pt>0.9)                0.0614       0.0513      +0.0101
dup rate barrel                  0.0132       0.0097      +0.0034
dup rate transition              0.0252       0.0130      +0.0122
dup rate endcap                  0.0980       0.0846      +0.0134
fake rate (pt sums)              0.0475       0.0451      +0.0024
fake rate (pt>0.9)               0.0483       0.0455      +0.0029
fake rate barrel                 0.0518       0.0437      +0.0081
fake rate transition             0.0553       0.0459      +0.0095
fake rate endcap                 0.0445       0.0463      -0.0019
mean nhitOT                       6.192        6.514       -0.321
mean nhitOT barrel                9.691       10.151       -0.459
mean nhitOT transition            9.463       10.010       -0.546
mean nhitOT endcap                3.351        3.559       -0.209
n TC (fr denom)                  617808       610581        +7227
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a6.json
