A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a75rps_rd_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3265       0.3264      +0.0001
eff overall (pt>0.9)             0.8132       0.8136      -0.0004
eff vxy [0,1)                    0.8461       0.8473      -0.0013
eff vxy [1,5)                    0.8057       0.7731      +0.0325
eff vxy [5,10)                   0.7334       0.6530      +0.0804
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8407       0.8342      +0.0065
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9250       0.9242      +0.0008
eff transition 1.1-1.7           0.8819       0.8826      -0.0008
eff endcap >1.7                  0.7543       0.7556      -0.0013
dup rate (pt sums)               0.0558       0.0499      +0.0059
dup rate (pt>0.9)                0.0572       0.0513      +0.0059
dup rate barrel                  0.0141       0.0097      +0.0044
dup rate transition              0.0251       0.0130      +0.0120
dup rate endcap                  0.0897       0.0846      +0.0052
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0473       0.0455      +0.0018
fake rate barrel                 0.0514       0.0437      +0.0077
fake rate transition             0.0546       0.0459      +0.0087
fake rate endcap                 0.0430       0.0463      -0.0033
mean nhitOT                       6.192        6.514       -0.321
mean nhitOT barrel                9.678       10.151       -0.472
mean nhitOT transition            9.456       10.010       -0.554
mean nhitOT endcap                3.360        3.559       -0.200
n TC (fr denom)                  616563       610581        +5982
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a75rps_rd.json
