A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a8rps_rd_rt3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3223       0.3264      -0.0041
eff overall (pt>0.9)             0.8071       0.8136      -0.0065
eff vxy [0,1)                    0.8396       0.8473      -0.0077
eff vxy [1,5)                    0.7993       0.7731      +0.0261
eff vxy [5,10)                   0.7303       0.6530      +0.0773
eff vxy [10,30)                  0.7198       0.6291      +0.0907
eff dxy [0,1)                    0.8347       0.8342      +0.0005
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9096       0.9242      -0.0146
eff transition 1.1-1.7           0.8796       0.8826      -0.0030
eff endcap >1.7                  0.7550       0.7556      -0.0006
dup rate (pt sums)               0.2775       0.0499      +0.2276
dup rate (pt>0.9)                0.3083       0.0513      +0.2570
dup rate barrel                  0.3806       0.0097      +0.3708
dup rate transition              0.3267       0.0130      +0.3136
dup rate endcap                  0.2602       0.0846      +0.1756
fake rate (pt sums)              0.0467       0.0451      +0.0016
fake rate (pt>0.9)               0.0467       0.0455      +0.0012
fake rate barrel                 0.0511       0.0437      +0.0073
fake rate transition             0.0574       0.0459      +0.0116
fake rate endcap                 0.0408       0.0463      -0.0055
mean nhitOT                       6.242        6.514       -0.271
mean nhitOT barrel                9.138       10.151       -1.012
mean nhitOT transition            9.014       10.010       -0.996
mean nhitOT endcap                3.679        3.559       +0.119
n TC (fr denom)                  688932       610581       +78351
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_attach/at_a8rps_rd_rt3.json
