A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs1_fsdd_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3264      +0.0004
eff overall (pt>0.9)             0.8140       0.8136      +0.0005
eff vxy [0,1)                    0.8469       0.8473      -0.0004
eff vxy [1,5)                    0.8071       0.7731      +0.0339
eff vxy [5,10)                   0.7350       0.6530      +0.0820
eff vxy [10,30)                  0.7239       0.6291      +0.0948
eff dxy [0,1)                    0.8418       0.8342      +0.0076
eff dxy [1,5)                    0.5687       0.4989      +0.0697
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9249       0.9242      +0.0007
eff transition 1.1-1.7           0.8829       0.8826      +0.0003
eff endcap >1.7                  0.7560       0.7556      +0.0004
dup rate (pt sums)               0.0685       0.0499      +0.0186
dup rate (pt>0.9)                0.0717       0.0513      +0.0204
dup rate barrel                  0.0222       0.0097      +0.0124
dup rate transition              0.0421       0.0130      +0.0291
dup rate endcap                  0.1068       0.0846      +0.0222
fake rate (pt sums)              0.0535       0.0451      +0.0084
fake rate (pt>0.9)               0.0549       0.0455      +0.0094
fake rate barrel                 0.0639       0.0437      +0.0202
fake rate transition             0.0759       0.0459      +0.0301
fake rate endcap                 0.0439       0.0463      -0.0024
mean nhitOT                       6.199        6.514       -0.314
mean nhitOT barrel                9.662       10.151       -0.489
mean nhitOT transition            9.420       10.010       -0.590
mean nhitOT endcap                3.407        3.559       -0.153
n TC (fr denom)                  626775       610581       +16194
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs1_fsdd.json
