A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs1_full_bt3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8126       0.8136      -0.0009
eff vxy [0,1)                    0.8454       0.8473      -0.0019
eff vxy [1,5)                    0.8035       0.7731      +0.0304
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7092       0.6291      +0.0801
eff dxy [0,1)                    0.8398       0.8342      +0.0056
eff dxy [1,5)                    0.5569       0.4989      +0.0579
eff dxy [5,10)                   0.2421       0.2281      +0.0140
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9240       0.9242      -0.0002
eff transition 1.1-1.7           0.8796       0.8826      -0.0030
eff endcap >1.7                  0.7548       0.7556      -0.0008
dup rate (pt sums)               0.0617       0.0499      +0.0118
dup rate (pt>0.9)                0.0640       0.0513      +0.0127
dup rate barrel                  0.0153       0.0097      +0.0056
dup rate transition              0.0287       0.0130      +0.0157
dup rate endcap                  0.0995       0.0846      +0.0149
fake rate (pt sums)              0.0442       0.0451      -0.0009
fake rate (pt>0.9)               0.0449       0.0455      -0.0006
fake rate barrel                 0.0523       0.0437      +0.0085
fake rate transition             0.0398       0.0459      -0.0061
fake rate endcap                 0.0424       0.0463      -0.0039
mean nhitOT                       6.172        6.514       -0.342
mean nhitOT barrel                9.700       10.151       -0.450
mean nhitOT transition            9.448       10.010       -0.562
mean nhitOT endcap                3.399        3.559       -0.161
n TC (fr denom)                  616357       610581        +5776
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs1_full_bt3.json
