A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_a6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0000
eff overall (pt>0.9)             0.8128       0.8136      -0.0008
eff vxy [0,1)                    0.8455       0.8473      -0.0018
eff vxy [1,5)                    0.8035       0.7731      +0.0304
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7059       0.6291      +0.0768
eff dxy [0,1)                    0.8399       0.8342      +0.0057
eff dxy [1,5)                    0.5536       0.4989      +0.0547
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9242       0.9242      +0.0000
eff transition 1.1-1.7           0.8796       0.8826      -0.0030
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.0622       0.0499      +0.0123
dup rate (pt>0.9)                0.0645       0.0513      +0.0132
dup rate barrel                  0.0155       0.0097      +0.0057
dup rate transition              0.0293       0.0130      +0.0163
dup rate endcap                  0.1002       0.0846      +0.0156
fake rate (pt sums)              0.0437       0.0451      -0.0014
fake rate (pt>0.9)               0.0443       0.0455      -0.0012
fake rate barrel                 0.0520       0.0437      +0.0083
fake rate transition             0.0375       0.0459      -0.0084
fake rate endcap                 0.0421       0.0463      -0.0042
mean nhitOT                       6.129        6.514       -0.384
mean nhitOT barrel                9.661       10.151       -0.489
mean nhitOT transition            9.370       10.010       -0.639
mean nhitOT endcap                3.368        3.559       -0.191
n TC (fr denom)                  616120       610581        +5539
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_a6.json
