A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_hb0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3242       0.3264      -0.0023
eff overall (pt>0.9)             0.8067       0.8136      -0.0068
eff vxy [0,1)                    0.8394       0.8473      -0.0079
eff vxy [1,5)                    0.7958       0.7731      +0.0226
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.6969       0.6291      +0.0678
eff dxy [0,1)                    0.8335       0.8342      -0.0007
eff dxy [1,5)                    0.5386       0.4989      +0.0397
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9160       0.9242      -0.0082
eff transition 1.1-1.7           0.8681       0.8826      -0.0145
eff endcap >1.7                  0.7528       0.7556      -0.0028
dup rate (pt sums)               0.0612       0.0499      +0.0113
dup rate (pt>0.9)                0.0633       0.0513      +0.0120
dup rate barrel                  0.0154       0.0097      +0.0056
dup rate transition              0.0276       0.0130      +0.0146
dup rate endcap                  0.0989       0.0846      +0.0144
fake rate (pt sums)              0.0508       0.0451      +0.0057
fake rate (pt>0.9)               0.0524       0.0455      +0.0069
fake rate barrel                 0.0592       0.0437      +0.0155
fake rate transition             0.0673       0.0459      +0.0215
fake rate endcap                 0.0446       0.0463      -0.0017
mean nhitOT                       6.237        6.514       -0.277
mean nhitOT barrel                9.773       10.151       -0.377
mean nhitOT transition            9.544       10.010       -0.466
mean nhitOT endcap                3.421        3.559       -0.138
n TC (fr denom)                  618754       610581        +8173
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_hb0.json
