A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_ve/at_ve_balanced_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0000
eff overall (pt>0.9)             0.8129       0.8136      -0.0006
eff vxy [0,1)                    0.8458       0.8473      -0.0015
eff vxy [1,5)                    0.8035       0.7731      +0.0304
eff vxy [5,10)                   0.7303       0.6530      +0.0773
eff vxy [10,30)                  0.7165       0.6291      +0.0874
eff dxy [0,1)                    0.8403       0.8342      +0.0061
eff dxy [1,5)                    0.5612       0.4989      +0.0622
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9245       0.9242      +0.0003
eff transition 1.1-1.7           0.8811       0.8826      -0.0015
eff endcap >1.7                  0.7544       0.7556      -0.0012
dup rate (pt sums)               0.0565       0.0499      +0.0066
dup rate (pt>0.9)                0.0582       0.0513      +0.0069
dup rate barrel                  0.0142       0.0097      +0.0044
dup rate transition              0.0238       0.0130      +0.0107
dup rate endcap                  0.0920       0.0846      +0.0074
fake rate (pt sums)              0.0470       0.0451      +0.0019
fake rate (pt>0.9)               0.0478       0.0455      +0.0023
fake rate barrel                 0.0519       0.0437      +0.0082
fake rate transition             0.0562       0.0459      +0.0103
fake rate endcap                 0.0432       0.0463      -0.0032
mean nhitOT                       6.250        6.514       -0.264
mean nhitOT barrel                9.781       10.151       -0.369
mean nhitOT transition            9.659       10.010       -0.351
mean nhitOT endcap                3.355        3.559       -0.204
n TC (fr denom)                  616936       610581        +6355
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose_ve/at_ve_balanced.json
