A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/ds_dd2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3264      -0.0019
eff overall (pt>0.9)             0.8081       0.8136      -0.0055
eff vxy [0,1)                    0.8409       0.8473      -0.0064
eff vxy [1,5)                    0.7958       0.7731      +0.0226
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.6863       0.6291      +0.0572
eff dxy [0,1)                    0.8345       0.8342      +0.0003
eff dxy [1,5)                    0.5333       0.4989      +0.0343
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9171       0.9242      -0.0071
eff transition 1.1-1.7           0.8718       0.8826      -0.0108
eff endcap >1.7                  0.7535       0.7556      -0.0021
dup rate (pt sums)               0.0549       0.0499      +0.0050
dup rate (pt>0.9)                0.0565       0.0513      +0.0052
dup rate barrel                  0.0111       0.0097      +0.0014
dup rate transition              0.0141       0.0130      +0.0010
dup rate endcap                  0.0919       0.0846      +0.0074
fake rate (pt sums)              0.0388       0.0451      -0.0063
fake rate (pt>0.9)               0.0391       0.0455      -0.0064
fake rate barrel                 0.0355       0.0437      -0.0082
fake rate transition             0.0428       0.0459      -0.0031
fake rate endcap                 0.0399       0.0463      -0.0064
mean nhitOT                       6.092        6.514       -0.421
mean nhitOT barrel                9.659       10.151       -0.492
mean nhitOT transition            9.406       10.010       -0.604
mean nhitOT endcap                3.315        3.559       -0.244
n TC (fr denom)                  609217       610581        -1364
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/ds_dd2.json
