A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/ds_rmin_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3250       0.3264      -0.0015
eff overall (pt>0.9)             0.8089       0.8136      -0.0047
eff vxy [0,1)                    0.8418       0.8473      -0.0055
eff vxy [1,5)                    0.7979       0.7731      +0.0247
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.6928       0.6291      +0.0637
eff dxy [0,1)                    0.8357       0.8342      +0.0015
eff dxy [1,5)                    0.5408       0.4989      +0.0418
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9181       0.9242      -0.0061
eff transition 1.1-1.7           0.8731       0.8826      -0.0095
eff endcap >1.7                  0.7540       0.7556      -0.0016
dup rate (pt sums)               0.0550       0.0499      +0.0051
dup rate (pt>0.9)                0.0567       0.0513      +0.0054
dup rate barrel                  0.0114       0.0097      +0.0016
dup rate transition              0.0142       0.0130      +0.0011
dup rate endcap                  0.0920       0.0846      +0.0074
fake rate (pt sums)              0.0387       0.0451      -0.0064
fake rate (pt>0.9)               0.0389       0.0455      -0.0066
fake rate barrel                 0.0350       0.0437      -0.0087
fake rate transition             0.0426       0.0459      -0.0033
fake rate endcap                 0.0399       0.0463      -0.0064
mean nhitOT                       5.952        6.514       -0.562
mean nhitOT barrel                9.355       10.151       -0.795
mean nhitOT transition            9.216       10.010       -0.794
mean nhitOT endcap                3.278        3.559       -0.281
n TC (fr denom)                  609561       610581        -1020
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/ds_rmin.json
