A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/ds_zr6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3265       0.3264      +0.0000
eff overall (pt>0.9)             0.8130       0.8136      -0.0005
eff vxy [0,1)                    0.8459       0.8473      -0.0015
eff vxy [1,5)                    0.8057       0.7731      +0.0325
eff vxy [5,10)                   0.7319       0.6530      +0.0789
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8406       0.8342      +0.0064
eff dxy [1,5)                    0.5644       0.4989      +0.0655
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9243       0.9242      +0.0001
eff transition 1.1-1.7           0.8806       0.8826      -0.0020
eff endcap >1.7                  0.7550       0.7556      -0.0006
dup rate (pt sums)               0.0619       0.0499      +0.0120
dup rate (pt>0.9)                0.0642       0.0513      +0.0129
dup rate barrel                  0.0154       0.0097      +0.0057
dup rate transition              0.0282       0.0130      +0.0152
dup rate endcap                  0.1002       0.0846      +0.0156
fake rate (pt sums)              0.0464       0.0451      +0.0013
fake rate (pt>0.9)               0.0472       0.0455      +0.0017
fake rate barrel                 0.0519       0.0437      +0.0082
fake rate transition             0.0566       0.0459      +0.0108
fake rate endcap                 0.0421       0.0463      -0.0042
mean nhitOT                       6.153        6.514       -0.361
mean nhitOT barrel                9.661       10.151       -0.490
mean nhitOT transition            9.424       10.010       -0.586
mean nhitOT endcap                3.367        3.559       -0.193
n TC (fr denom)                  618803       610581        +8222
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/ds_zr6.json
