A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/t60_dd2k_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3253       0.3277      -0.0024
eff overall (pt>0.9)             0.8055       0.8122      -0.0067
eff vxy [0,1)                    0.8357       0.8437      -0.0080
eff vxy [1,5)                    0.7849       0.7491      +0.0358
eff vxy [5,10)                   0.6789       0.6147      +0.0642
eff vxy [10,30)                  0.7304       0.6391      +0.0913
eff dxy [0,1)                    0.8288       0.8284      +0.0004
eff dxy [1,5)                    0.5980       0.5392      +0.0588
eff dxy [5,10)                   0.2593       0.2037      +0.0556
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.9102       0.9179      -0.0077
eff transition 1.1-1.7           0.8747       0.8887      -0.0141
eff endcap >1.7                  0.7343       0.7373      -0.0029
dup rate (pt sums)               0.0529       0.0485      +0.0044
dup rate (pt>0.9)                0.0542       0.0496      +0.0046
dup rate barrel                  0.0106       0.0098      +0.0008
dup rate transition              0.0129       0.0123      +0.0006
dup rate endcap                  0.0888       0.0821      +0.0067
fake rate (pt sums)              0.0372       0.0432      -0.0060
fake rate (pt>0.9)               0.0373       0.0435      -0.0062
fake rate barrel                 0.0342       0.0421      -0.0080
fake rate transition             0.0412       0.0426      -0.0013
fake rate endcap                 0.0379       0.0446      -0.0067
mean nhitOT                       6.107        6.533       -0.427
mean nhitOT barrel                9.659       10.151       -0.492
mean nhitOT transition            9.407       10.008       -0.601
mean nhitOT endcap                3.309        3.560       -0.252
n TC (fr denom)                  120477       120786         -309
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/t60_dd2k.json
