A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/t60_rep_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3274       0.3277      -0.0003
eff overall (pt>0.9)             0.8107       0.8122      -0.0015
eff vxy [0,1)                    0.8408       0.8437      -0.0028
eff vxy [1,5)                    0.7957       0.7491      +0.0466
eff vxy [5,10)                   0.6789       0.6147      +0.0642
eff vxy [10,30)                  0.7435       0.6391      +0.1043
eff dxy [0,1)                    0.8347       0.8284      +0.0064
eff dxy [1,5)                    0.6127       0.5392      +0.0735
eff dxy [5,10)                   0.2593       0.2037      +0.0556
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.9174       0.9179      -0.0005
eff transition 1.1-1.7           0.8824       0.8887      -0.0064
eff endcap >1.7                  0.7367       0.7373      -0.0006
dup rate (pt sums)               0.0600       0.0485      +0.0115
dup rate (pt>0.9)                0.0622       0.0496      +0.0126
dup rate barrel                  0.0147       0.0098      +0.0048
dup rate transition              0.0291       0.0123      +0.0168
dup rate endcap                  0.0972       0.0821      +0.0152
fake rate (pt sums)              0.0442       0.0432      +0.0010
fake rate (pt>0.9)               0.0449       0.0435      +0.0014
fake rate barrel                 0.0500       0.0421      +0.0079
fake rate transition             0.0534       0.0426      +0.0109
fake rate endcap                 0.0398       0.0446      -0.0048
mean nhitOT                       6.164        6.533       -0.370
mean nhitOT barrel                9.658       10.151       -0.494
mean nhitOT transition            9.422       10.008       -0.586
mean nhitOT endcap                3.358        3.560       -0.202
n TC (fr denom)                  122330       120786        +1544
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/t60_rep.json
