A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/t60_rm1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base60_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3266       0.3277      -0.0011
eff overall (pt>0.9)             0.8085       0.8122      -0.0037
eff vxy [0,1)                    0.8390       0.8437      -0.0047
eff vxy [1,5)                    0.7885       0.7491      +0.0394
eff vxy [5,10)                   0.6606       0.6147      +0.0459
eff vxy [10,30)                  0.7435       0.6391      +0.1043
eff dxy [0,1)                    0.8322       0.8284      +0.0038
eff dxy [1,5)                    0.6127       0.5392      +0.0735
eff dxy [5,10)                   0.2593       0.2037      +0.0556
eff dxy [10,30)                  0.0000       0.0000      +0.0000
eff barrel |eta|<1.1             0.9148       0.9179      -0.0031
eff transition 1.1-1.7           0.8772       0.8887      -0.0115
eff endcap >1.7                  0.7361       0.7373      -0.0012
dup rate (pt sums)               0.0574       0.0485      +0.0090
dup rate (pt>0.9)                0.0591       0.0496      +0.0095
dup rate barrel                  0.0137       0.0098      +0.0039
dup rate transition              0.0220       0.0123      +0.0097
dup rate endcap                  0.0941       0.0821      +0.0120
fake rate (pt sums)              0.0455       0.0432      +0.0023
fake rate (pt>0.9)               0.0462       0.0435      +0.0027
fake rate barrel                 0.0516       0.0421      +0.0094
fake rate transition             0.0551       0.0426      +0.0126
fake rate endcap                 0.0408       0.0446      -0.0038
mean nhitOT                       6.416        6.533       -0.117
mean nhitOT barrel                9.919       10.151       -0.233
mean nhitOT transition            9.855       10.008       -0.153
mean nhitOT endcap                3.557        3.560       -0.003
n TC (fr denom)                  122089       120786        +1303
n sim (ef denom)                  12741        12741           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/descent/t60_rm1.json
