A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/dupcut/dc_s1_fcx1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3220       0.3264      -0.0044
eff overall (pt>0.9)             0.8012       0.8136      -0.0124
eff vxy [0,1)                    0.8338       0.8473      -0.0135
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7114       0.6530      +0.0584
eff vxy [10,30)                  0.6944       0.6291      +0.0654
eff dxy [0,1)                    0.8277       0.8342      -0.0065
eff dxy [1,5)                    0.5386       0.4989      +0.0397
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9089       0.9242      -0.0153
eff transition 1.1-1.7           0.8586       0.8826      -0.0240
eff endcap >1.7                  0.7500       0.7556      -0.0056
dup rate (pt sums)               0.0593       0.0499      +0.0093
dup rate (pt>0.9)                0.0613       0.0513      +0.0100
dup rate barrel                  0.0132       0.0097      +0.0035
dup rate transition              0.0231       0.0130      +0.0101
dup rate endcap                  0.0973       0.0846      +0.0127
fake rate (pt sums)              0.0501       0.0451      +0.0050
fake rate (pt>0.9)               0.0518       0.0455      +0.0063
fake rate barrel                 0.0525       0.0437      +0.0088
fake rate transition             0.0725       0.0459      +0.0266
fake rate endcap                 0.0455       0.0463      -0.0009
mean nhitOT                       6.505        6.514       -0.008
mean nhitOT barrel               10.042       10.151       -0.108
mean nhitOT transition            9.983       10.010       -0.027
mean nhitOT endcap                3.661        3.559       +0.102
n TC (fr denom)                  614262       610581        +3681
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/dupcut/ab_s1_fcx1.json
