A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/dupcut/dc_s2_fcx1fc0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3174       0.3264      -0.0091
eff overall (pt>0.9)             0.7885       0.8136      -0.0250
eff vxy [0,1)                    0.8214       0.8473      -0.0260
eff vxy [1,5)                    0.7611       0.7731      -0.0120
eff vxy [5,10)                   0.6987       0.6530      +0.0457
eff vxy [10,30)                  0.6413       0.6291      +0.0123
eff dxy [0,1)                    0.8131       0.8342      -0.0211
eff dxy [1,5)                    0.4903       0.4989      -0.0086
eff dxy [5,10)                   0.2211       0.2281      -0.0070
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.8884       0.9242      -0.0358
eff transition 1.1-1.7           0.8433       0.8826      -0.0393
eff endcap >1.7                  0.7450       0.7556      -0.0106
dup rate (pt sums)               0.0537       0.0499      +0.0037
dup rate (pt>0.9)                0.0550       0.0513      +0.0037
dup rate barrel                  0.0087       0.0097      -0.0010
dup rate transition              0.0121       0.0130      -0.0010
dup rate endcap                  0.0905       0.0846      +0.0059
fake rate (pt sums)              0.0420       0.0451      -0.0031
fake rate (pt>0.9)               0.0430       0.0455      -0.0025
fake rate barrel                 0.0361       0.0437      -0.0076
fake rate transition             0.0553       0.0459      +0.0094
fake rate endcap                 0.0431       0.0463      -0.0032
mean nhitOT                       6.413        6.514       -0.101
mean nhitOT barrel               10.014       10.151       -0.137
mean nhitOT transition            9.961       10.010       -0.049
mean nhitOT endcap                3.589        3.559       +0.030
n TC (fr denom)                  602268       610581        -8313
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/dupcut/ab_s2_fcx1fc0.json
