A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/dupcut/dc_t2_fc0e_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3183       0.3264      -0.0081
eff overall (pt>0.9)             0.7911       0.8136      -0.0225
eff vxy [0,1)                    0.8239       0.8473      -0.0234
eff vxy [1,5)                    0.7661       0.7731      -0.0071
eff vxy [5,10)                   0.7082       0.6530      +0.0552
eff vxy [10,30)                  0.6814       0.6291      +0.0523
eff dxy [0,1)                    0.8168       0.8342      -0.0174
eff dxy [1,5)                    0.5429       0.4989      +0.0440
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.8911       0.9242      -0.0331
eff transition 1.1-1.7           0.8481       0.8826      -0.0345
eff endcap >1.7                  0.7467       0.7556      -0.0089
dup rate (pt sums)               0.0581       0.0499      +0.0082
dup rate (pt>0.9)                0.0599       0.0513      +0.0086
dup rate barrel                  0.0121       0.0097      +0.0024
dup rate transition              0.0225       0.0130      +0.0095
dup rate endcap                  0.0955       0.0846      +0.0109
fake rate (pt sums)              0.0521       0.0451      +0.0070
fake rate (pt>0.9)               0.0540       0.0455      +0.0085
fake rate barrel                 0.0561       0.0437      +0.0124
fake rate transition             0.0770       0.0459      +0.0311
fake rate endcap                 0.0463       0.0463      -0.0000
mean nhitOT                       6.488        6.514       -0.026
mean nhitOT barrel               10.025       10.151       -0.126
mean nhitOT transition            9.977       10.010       -0.033
mean nhitOT endcap                3.649        3.559       +0.090
n TC (fr denom)                  612738       610581        +2157
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/dupcut/ab_t2_fc0e.json
