A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_res_b0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3220       0.3264      -0.0044
eff overall (pt>0.9)             0.8012       0.8136      -0.0124
eff vxy [0,1)                    0.8338       0.8473      -0.0135
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7114       0.6530      +0.0584
eff vxy [10,30)                  0.6895       0.6291      +0.0605
eff dxy [0,1)                    0.8275       0.8342      -0.0067
eff dxy [1,5)                    0.5311       0.4989      +0.0322
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9087       0.9242      -0.0155
eff transition 1.1-1.7           0.8596       0.8826      -0.0230
eff endcap >1.7                  0.7498       0.7556      -0.0058
dup rate (pt sums)               0.0618       0.0499      +0.0119
dup rate (pt>0.9)                0.0642       0.0513      +0.0129
dup rate barrel                  0.0156       0.0097      +0.0059
dup rate transition              0.0281       0.0130      +0.0151
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0524       0.0451      +0.0073
fake rate (pt>0.9)               0.0543       0.0455      +0.0088
fake rate barrel                 0.0561       0.0437      +0.0124
fake rate transition             0.0781       0.0459      +0.0322
fake rate endcap                 0.0465       0.0463      +0.0002
mean nhitOT                       6.524        6.514       +0.010
mean nhitOT barrel               10.046       10.151       -0.104
mean nhitOT transition            9.990       10.010       -0.020
mean nhitOT endcap                3.681        3.559       +0.121
n TC (fr denom)                  616526       610581        +5945
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_res_b0.json
